#           k/h    P           
    0.58104E-05    0.36612E+00
    0.64215E-05    0.40311E+00
    0.70968E-05    0.44383E+00
    0.78432E-05    0.48867E+00
    0.86681E-05    0.53803E+00
    0.95797E-05    0.59239E+00
    0.10587E-04    0.65223E+00
    0.11701E-04    0.71812E+00
    0.12931E-04    0.79067E+00
    0.14291E-04    0.87054E+00
    0.15794E-04    0.95849E+00
    0.17455E-04    0.10553E+01
    0.19291E-04    0.11619E+01
    0.21320E-04    0.12793E+01
    0.23562E-04    0.14085E+01
    0.26040E-04    0.15508E+01
    0.28779E-04    0.17075E+01
    0.31806E-04    0.18800E+01
    0.35151E-04    0.20699E+01
    0.38848E-04    0.22790E+01
    0.42933E-04    0.25092E+01
    0.47449E-04    0.27627E+01
    0.52439E-04    0.30418E+01
    0.57954E-04    0.33490E+01
    0.64049E-04    0.36873E+01
    0.70785E-04    0.40598E+01
    0.78230E-04    0.44699E+01
    0.86457E-04    0.49213E+01
    0.95550E-04    0.54184E+01
    0.10560E-03    0.59656E+01
    0.11671E-03    0.65680E+01
    0.12898E-03    0.72312E+01
    0.14254E-03    0.79613E+01
    0.15754E-03    0.87650E+01
    0.17410E-03    0.96498E+01
    0.19241E-03    0.10624E+02
    0.21265E-03    0.11695E+02
    0.23502E-03    0.12875E+02
    0.25973E-03    0.14173E+02
    0.28705E-03    0.15602E+02
    0.31724E-03    0.17174E+02
    0.35060E-03    0.18903E+02
    0.38747E-03    0.20804E+02
    0.42823E-03    0.22895E+02
    0.47326E-03    0.25194E+02
    0.52304E-03    0.27720E+02
    0.57804E-03    0.30495E+02
    0.63884E-03    0.33541E+02
    0.70603E-03    0.36884E+02
    0.78028E-03    0.40549E+02
    0.86234E-03    0.44564E+02
    0.95303E-03    0.48958E+02
    0.10533E-02    0.53762E+02
    0.11640E-02    0.59004E+02
    0.12865E-02    0.64717E+02
    0.14218E-02    0.70930E+02
    0.15713E-02    0.77672E+02
    0.17365E-02    0.84970E+02
    0.19192E-02    0.92849E+02
    0.21210E-02    0.10133E+03
    0.23441E-02    0.11042E+03
    0.25906E-02    0.12014E+03
    0.28631E-02    0.13049E+03
    0.31642E-02    0.14146E+03
    0.34970E-02    0.15304E+03
    0.38647E-02    0.16519E+03
    0.42712E-02    0.17788E+03
    0.47204E-02    0.19104E+03
    0.52169E-02    0.20457E+03
    0.57655E-02    0.21837E+03
    0.63719E-02    0.23229E+03
    0.70420E-02    0.24617E+03
    0.77826E-02    0.25980E+03
    0.86011E-02    0.27294E+03
    0.95057E-02    0.28531E+03
    0.10505E-01    0.29658E+03
    0.11610E-01    0.30642E+03
    0.12831E-01    0.31441E+03
    0.14181E-01    0.32014E+03
    0.15672E-01    0.32318E+03
    0.17321E-01    0.32311E+03
    0.19142E-01    0.31958E+03
    0.21155E-01    0.31234E+03
    0.23380E-01    0.30131E+03
    0.25839E-01    0.28666E+03
    0.28557E-01    0.26887E+03
    0.31560E-01    0.24879E+03
    0.34879E-01    0.22756E+03
    0.38548E-01    0.20658E+03
    0.42602E-01    0.18721E+03
    0.47082E-01    0.17054E+03
    0.52034E-01    0.15705E+03
    0.57506E-01    0.14626E+03
    0.63554E-01    0.13665E+03
    0.70238E-01    0.12593E+03
    0.77625E-01    0.11224E+03
    0.85789E-01    0.95757E+02
    0.94812E-01    0.79392E+02
    0.10478E+00    0.66871E+02
    0.11580E+00    0.59445E+02
    0.12798E+00    0.54202E+02
    0.14144E+00    0.46762E+02
    0.15632E+00    0.37512E+02
    0.17276E+00    0.31069E+02
    0.19093E+00    0.27611E+02
    0.21101E+00    0.23028E+02
    0.23320E+00    0.18460E+02
    0.25773E+00    0.15877E+02
    0.28483E+00    0.12913E+02
    0.31479E+00    0.10655E+02
    0.34789E+00    0.87442E+01
    0.38448E+00    0.71484E+01
    0.42492E+00    0.58020E+01
    0.46961E+00    0.47235E+01
    0.51900E+00    0.38171E+01
    0.57358E+00    0.30774E+01
    0.63390E+00    0.24753E+01
    0.70057E+00    0.19856E+01
    0.77425E+00    0.15887E+01
    0.85568E+00    0.12679E+01
    0.94567E+00    0.10095E+01
    0.10451E+01    0.80204E+00
    0.11550E+01    0.63582E+00
    0.12765E+01    0.50304E+00
    0.14108E+01    0.39721E+00
    0.15591E+01    0.31307E+00
    0.17231E+01    0.24632E+00
    0.19043E+01    0.19347E+00
    0.21046E+01    0.15171E+00
    0.23260E+01    0.11878E+00
    0.25706E+01    0.92865E-01
    0.28410E+01    0.72499E-01
    0.31397E+01    0.56522E-01
    0.34700E+01    0.44009E-01
    0.38349E+01    0.34223E-01
    0.42382E+01    0.26581E-01
    0.46839E+01    0.20621E-01
    0.51766E+01    0.15980E-01
    0.57210E+01    0.12370E-01
    0.63227E+01    0.95663E-02
    0.69876E+01    0.73905E-02
    0.77225E+01    0.57041E-02
    0.85347E+01    0.43985E-02
    0.94323E+01    0.33887E-02
    0.10424E+02    0.26085E-02
    0.11521E+02    0.20063E-02
    0.12732E+02    0.15418E-02
    0.14071E+02    0.11840E-02
    0.15551E+02    0.90854E-03
    0.17187E+02    0.69666E-03
    0.18994E+02    0.53382E-03
    0.20992E+02    0.40876E-03
    0.23200E+02    0.31278E-03
    0.25640E+02    0.23919E-03
    0.28336E+02    0.18279E-03
    0.31316E+02    0.13961E-03
    0.34610E+02    0.10656E-03
    0.38250E+02    0.81284E-04
    0.42273E+02    0.61966E-04
    0.46718E+02    0.47211E-04
    0.51632E+02    0.35947E-04
