#           k/h    P           
    0.58104E-05    0.45333E-01
    0.64215E-05    0.49913E-01
    0.70968E-05    0.54955E-01
    0.78432E-05    0.60507E-01
    0.86681E-05    0.66620E-01
    0.95797E-05    0.73350E-01
    0.10587E-04    0.80760E-01
    0.11701E-04    0.88919E-01
    0.12931E-04    0.97902E-01
    0.14291E-04    0.10779E+00
    0.15794E-04    0.11868E+00
    0.17455E-04    0.13067E+00
    0.19291E-04    0.14387E+00
    0.21320E-04    0.15841E+00
    0.23562E-04    0.17441E+00
    0.26040E-04    0.19203E+00
    0.28779E-04    0.21143E+00
    0.31806E-04    0.23278E+00
    0.35151E-04    0.25630E+00
    0.38848E-04    0.28219E+00
    0.42933E-04    0.31070E+00
    0.47449E-04    0.34209E+00
    0.52439E-04    0.37664E+00
    0.57954E-04    0.41469E+00
    0.64049E-04    0.45658E+00
    0.70785E-04    0.50270E+00
    0.78230E-04    0.55348E+00
    0.86457E-04    0.60938E+00
    0.95550E-04    0.67093E+00
    0.10560E-03    0.73870E+00
    0.11671E-03    0.81330E+00
    0.12898E-03    0.89544E+00
    0.14254E-03    0.98586E+00
    0.15754E-03    0.10854E+01
    0.17410E-03    0.11950E+01
    0.19241E-03    0.13156E+01
    0.21265E-03    0.14484E+01
    0.23502E-03    0.15946E+01
    0.25973E-03    0.17554E+01
    0.28705E-03    0.19325E+01
    0.31724E-03    0.21273E+01
    0.35060E-03    0.23416E+01
    0.38747E-03    0.25775E+01
    0.42823E-03    0.28369E+01
    0.47326E-03    0.31222E+01
    0.52304E-03    0.34358E+01
    0.57804E-03    0.37806E+01
    0.63884E-03    0.41593E+01
    0.70603E-03    0.45753E+01
    0.78028E-03    0.50318E+01
    0.86234E-03    0.55326E+01
    0.95303E-03    0.60814E+01
    0.10533E-02    0.66822E+01
    0.11640E-02    0.73393E+01
    0.12865E-02    0.80568E+01
    0.14218E-02    0.88391E+01
    0.15713E-02    0.96903E+01
    0.17365E-02    0.10614E+02
    0.19192E-02    0.11614E+02
    0.21210E-02    0.12694E+02
    0.23441E-02    0.13855E+02
    0.25906E-02    0.15098E+02
    0.28631E-02    0.16423E+02
    0.31642E-02    0.17829E+02
    0.34970E-02    0.19314E+02
    0.38647E-02    0.20873E+02
    0.42712E-02    0.22500E+02
    0.47204E-02    0.24188E+02
    0.52169E-02    0.25927E+02
    0.57655E-02    0.27702E+02
    0.63719E-02    0.29497E+02
    0.70420E-02    0.31288E+02
    0.77826E-02    0.33047E+02
    0.86011E-02    0.34744E+02
    0.95057E-02    0.36343E+02
    0.10505E-01    0.37804E+02
    0.11610E-01    0.39081E+02
    0.12831E-01    0.40122E+02
    0.14181E-01    0.40875E+02
    0.15672E-01    0.41283E+02
    0.17321E-01    0.41292E+02
    0.19142E-01    0.40859E+02
    0.21155E-01    0.39947E+02
    0.23380E-01    0.38549E+02
    0.25839E-01    0.36686E+02
    0.28557E-01    0.34419E+02
    0.31560E-01    0.31856E+02
    0.34879E-01    0.29145E+02
    0.38548E-01    0.26462E+02
    0.42602E-01    0.23985E+02
    0.47082E-01    0.21853E+02
    0.52034E-01    0.20127E+02
    0.57506E-01    0.18747E+02
    0.63554E-01    0.17516E+02
    0.70238E-01    0.16143E+02
    0.77625E-01    0.14389E+02
    0.85789E-01    0.12277E+02
    0.94812E-01    0.10180E+02
    0.10478E+00    0.85745E+01
    0.11580E+00    0.76225E+01
    0.12798E+00    0.69503E+01
    0.14144E+00    0.59964E+01
    0.15632E+00    0.48104E+01
    0.17276E+00    0.39843E+01
    0.19093E+00    0.35409E+01
    0.21101E+00    0.29531E+01
    0.23320E+00    0.23674E+01
    0.25773E+00    0.20361E+01
    0.28483E+00    0.16561E+01
    0.31479E+00    0.13665E+01
    0.34789E+00    0.11214E+01
    0.38448E+00    0.91678E+00
    0.42492E+00    0.74411E+00
    0.46961E+00    0.60579E+00
    0.51900E+00    0.48955E+00
    0.57358E+00    0.39468E+00
    0.63390E+00    0.31746E+00
    0.70057E+00    0.25466E+00
    0.77425E+00    0.20375E+00
    0.85568E+00    0.16261E+00
    0.94567E+00    0.12948E+00
    0.10451E+01    0.10286E+00
    0.11550E+01    0.81546E-01
    0.12765E+01    0.64516E-01
    0.14108E+01    0.50944E-01
    0.15591E+01    0.40152E-01
    0.17231E+01    0.31591E-01
    0.19043E+01    0.24813E-01
    0.21046E+01    0.19457E-01
    0.23260E+01    0.15234E-01
    0.25706E+01    0.11910E-01
    0.28410E+01    0.92982E-02
    0.31397E+01    0.72491E-02
    0.34700E+01    0.56442E-02
    0.38349E+01    0.43891E-02
    0.42382E+01    0.34090E-02
    0.46839E+01    0.26447E-02
    0.51766E+01    0.20495E-02
    0.57210E+01    0.15866E-02
    0.63227E+01    0.12269E-02
    0.69876E+01    0.94786E-03
    0.77225E+01    0.73157E-03
    0.85347E+01    0.56412E-03
    0.94323E+01    0.43461E-03
    0.10424E+02    0.33455E-03
    0.11521E+02    0.25732E-03
    0.12732E+02    0.19775E-03
    0.14071E+02    0.15186E-03
    0.15551E+02    0.11653E-03
    0.17187E+02    0.89355E-04
    0.18994E+02    0.68469E-04
    0.20992E+02    0.52430E-04
    0.23200E+02    0.40121E-04
    0.25640E+02    0.30682E-04
    0.28336E+02    0.23449E-04
    0.31316E+02    0.17910E-04
    0.34610E+02    0.13671E-04
    0.38250E+02    0.10429E-04
    0.42273E+02    0.79508E-05
    0.46718E+02    0.60582E-05
    0.51632E+02    0.46133E-05
