#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.581041E-05   0.120148E+08   0.120148E+08   0.160183E+08   0.160183E+08   0.120174E+08   0.120148E+08   0.120148E+08   0.120204E+08  -0.573996E+00   0.105469E+08   0.105469E+08   0.635192E-02
   0.642149E-05   0.120148E+08   0.120148E+08   0.160179E+08   0.160179E+08   0.120174E+08   0.120148E+08   0.120148E+08   0.120204E+08  -0.573996E+00   0.105469E+08   0.105469E+08   0.701995E-02
   0.709685E-05   0.120148E+08   0.120148E+08   0.160175E+08   0.160175E+08   0.120174E+08   0.120148E+08   0.120148E+08   0.120204E+08  -0.573996E+00   0.105469E+08   0.105469E+08   0.775824E-02
   0.784323E-05   0.120148E+08   0.120148E+08   0.160170E+08   0.160170E+08   0.120174E+08   0.120148E+08   0.120148E+08   0.120204E+08  -0.573996E+00   0.105469E+08   0.105469E+08   0.857417E-02
   0.866811E-05   0.120148E+08   0.120148E+08   0.160165E+08   0.160164E+08   0.120174E+08   0.120148E+08   0.120148E+08   0.120204E+08  -0.573996E+00   0.105469E+08   0.105469E+08   0.947590E-02
   0.957974E-05   0.120148E+08   0.120148E+08   0.160157E+08   0.160157E+08   0.120174E+08   0.120148E+08   0.120148E+08   0.120204E+08  -0.573996E+00   0.105469E+08   0.105469E+08   0.104725E-01
   0.105873E-04   0.120148E+08   0.120148E+08   0.160148E+08   0.160148E+08   0.120174E+08   0.120148E+08   0.120148E+08   0.120204E+08  -0.573996E+00   0.105469E+08   0.105469E+08   0.115738E-01
   0.117007E-04   0.120148E+08   0.120148E+08   0.160138E+08   0.160138E+08   0.120173E+08   0.120148E+08   0.120148E+08   0.120203E+08  -0.573995E+00   0.105469E+08   0.105469E+08   0.127910E-01
   0.129313E-04   0.120148E+08   0.120148E+08   0.160124E+08   0.160124E+08   0.120173E+08   0.120148E+08   0.120148E+08   0.120203E+08  -0.573995E+00   0.105468E+08   0.105468E+08   0.141362E-01
   0.142913E-04   0.120148E+08   0.120148E+08   0.160108E+08   0.160108E+08   0.120173E+08   0.120148E+08   0.120148E+08   0.120203E+08  -0.573995E+00   0.105468E+08   0.105468E+08   0.156228E-01
   0.157943E-04   0.120148E+08   0.120148E+08   0.160089E+08   0.160088E+08   0.120173E+08   0.120148E+08   0.120148E+08   0.120203E+08  -0.573995E+00   0.105468E+08   0.105468E+08   0.172658E-01
   0.174554E-04   0.120148E+08   0.120148E+08   0.160065E+08   0.160064E+08   0.120173E+08   0.120148E+08   0.120148E+08   0.120203E+08  -0.573994E+00   0.105468E+08   0.105468E+08   0.190815E-01
   0.192912E-04   0.120148E+08   0.120148E+08   0.160035E+08   0.160035E+08   0.120172E+08   0.120148E+08   0.120148E+08   0.120203E+08  -0.573994E+00   0.105468E+08   0.105468E+08   0.210881E-01
   0.213201E-04   0.120147E+08   0.120147E+08   0.159999E+08   0.159999E+08   0.120172E+08   0.120148E+08   0.120147E+08   0.120203E+08  -0.573993E+00   0.105468E+08   0.105468E+08   0.233056E-01
   0.235624E-04   0.120147E+08   0.120147E+08   0.159956E+08   0.159955E+08   0.120171E+08   0.120148E+08   0.120147E+08   0.120203E+08  -0.573993E+00   0.105468E+08   0.105468E+08   0.257563E-01
   0.260404E-04   0.120147E+08   0.120147E+08   0.159902E+08   0.159901E+08   0.120171E+08   0.120147E+08   0.120147E+08   0.120203E+08  -0.573992E+00   0.105468E+08   0.105468E+08   0.284646E-01
