#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.581041E-05   0.623847E+07   0.623847E+07   0.831758E+07   0.831758E+07   0.624353E+07   0.623853E+07   0.623847E+07   0.624428E+07  -0.596588E+00   0.612535E+07   0.612535E+07   0.120468E-01
   0.642149E-05   0.623847E+07   0.623847E+07   0.831749E+07   0.831749E+07   0.624353E+07   0.623853E+07   0.623847E+07   0.624428E+07  -0.596588E+00   0.612535E+07   0.612535E+07   0.133138E-01
   0.709685E-05   0.623847E+07   0.623847E+07   0.831739E+07   0.831738E+07   0.624352E+07   0.623853E+07   0.623847E+07   0.624428E+07  -0.596588E+00   0.612535E+07   0.612535E+07   0.147140E-01
   0.784323E-05   0.623847E+07   0.623847E+07   0.831726E+07   0.831726E+07   0.624352E+07   0.623853E+07   0.623847E+07   0.624428E+07  -0.596588E+00   0.612535E+07   0.612535E+07   0.162615E-01
   0.866811E-05   0.623847E+07   0.623847E+07   0.831710E+07   0.831710E+07   0.624352E+07   0.623853E+07   0.623847E+07   0.624428E+07  -0.596588E+00   0.612535E+07   0.612535E+07   0.179717E-01
   0.957974E-05   0.623847E+07   0.623847E+07   0.831691E+07   0.831691E+07   0.624351E+07   0.623852E+07   0.623847E+07   0.624428E+07  -0.596588E+00   0.612535E+07   0.612535E+07   0.198618E-01
   0.105873E-04   0.623847E+07   0.623847E+07   0.831668E+07   0.831667E+07   0.624350E+07   0.623852E+07   0.623847E+07   0.624428E+07  -0.596588E+00   0.612534E+07   0.612534E+07   0.219506E-01
   0.117007E-04   0.623847E+07   0.623847E+07   0.831640E+07   0.831639E+07   0.624349E+07   0.623852E+07   0.623847E+07   0.624427E+07  -0.596588E+00   0.612534E+07   0.612534E+07   0.242591E-01
   0.129313E-04   0.623846E+07   0.623846E+07   0.831605E+07   0.831604E+07   0.624348E+07   0.623852E+07   0.623846E+07   0.624427E+07  -0.596587E+00   0.612534E+07   0.612534E+07   0.268104E-01
   0.142913E-04   0.623846E+07   0.623846E+07   0.831562E+07   0.831561E+07   0.624347E+07   0.623852E+07   0.623846E+07   0.624427E+07  -0.596587E+00   0.612534E+07   0.612534E+07   0.296300E-01
   0.157943E-04   0.623846E+07   0.623846E+07   0.831511E+07   0.831509E+07   0.624346E+07   0.623852E+07   0.623846E+07   0.624427E+07  -0.596587E+00   0.612534E+07   0.612534E+07   0.327461E-01
   0.174554E-04   0.623846E+07   0.623846E+07   0.831448E+07   0.831446E+07   0.624344E+07   0.623851E+07   0.623846E+07   0.624426E+07  -0.596586E+00   0.612533E+07   0.612533E+07   0.361899E-01
   0.192912E-04   0.623845E+07   0.623845E+07   0.831370E+07   0.831368E+07   0.624341E+07   0.623851E+07   0.623845E+07   0.624426E+07  -0.596586E+00   0.612533E+07   0.612533E+07   0.399958E-01
   0.213201E-04   0.623845E+07   0.623845E+07   0.831276E+07   0.831273E+07   0.624339E+07   0.623850E+07   0.623845E+07   0.624425E+07  -0.596586E+00   0.612533E+07   0.612533E+07   0.442019E-01
   0.235624E-04   0.623844E+07   0.623844E+07   0.831161E+07   0.831158E+07   0.624335E+07   0.623850E+07   0.623844E+07   0.624425E+07  -0.596585E+00   0.612532E+07   0.612532E+07   0.488502E-01
   0.260404E-04   0.623844E+07   0.623844E+07   0.831020E+07   0.831016E+07   0.624331E+07   0.623849E+07   0.623844E+07   0.624424E+07  -0.596584E+00   0.612531E+07   0.612531E+07   0.539873E-01
   0.287791E-04   0.623843E+07   0.623843E+07   0.830848E+07   0.830844E+07   0.624326E+07   0.623848E+07   0.623843E+07   0.624423E+07  -0.596583E+00   0.612531E+07   0.612531E+07   0.596645E-01
   0.318059E-04   0.623842E+07   0.623842E+07   0.830639E+07   0.830633E+07   0.624320E+07   0.623847E+07   0.623842E+07   0.624422E+07  -0.596582E+00   0.612530E+07   0.612530E+07   0.659384E-01
   0.351509E-04   0.623841E+07   0.623841E+07   0.830382E+07   0.830376E+07   0.624312E+07   0.623846E+07   0.623841E+07   0.624421E+07  -0.596581E+00   0.612528E+07   0.612528E+07   0.728719E-01
   0.388478E-04   0.623840E+07   0.623839E+07   0.830070E+07   0.830061E+07   0.624303E+07   0.623845E+07   0.623840E+07   0.624419E+07  -0.596579E+00   0.612527E+07   0.612527E+07   0.805341E-01
   0.429334E-04   0.623838E+07   0.623838E+07   0.829688E+07   0.829678E+07   0.624291E+07   0.623843E+07   0.623838E+07   0.624417E+07  -0.596577E+00   0.612525E+07   0.612525E+07   0.890015E-01
   0.474488E-04   0.623836E+07   0.623836E+07   0.829222E+07   0.829209E+07   0.624278E+07   0.623841E+07   0.623836E+07   0.624414E+07  -0.596574E+00   0.612523E+07   0.612523E+07   0.983585E-01
   0.524390E-04   0.623833E+07   0.623833E+07   0.828653E+07   0.828638E+07   0.624261E+07   0.623838E+07   0.623833E+07   0.624411E+07  -0.596571E+00   0.612521E+07   0.612521E+07   0.108698E+00
   0.579541E-04   0.623830E+07   0.623830E+07   0.827958E+07   0.827940E+07   0.624240E+07   0.623835E+07   0.623830E+07   0.624407E+07  -0.596568E+00   0.612517E+07   0.612517E+07   0.120124E+00
   0.640491E-04   0.623826E+07   0.623826E+07   0.827111E+07   0.827088E+07   0.624215E+07   0.623830E+07   0.623826E+07   0.624403E+07  -0.596563E+00   0.612514E+07   0.612514E+07   0.132750E+00
   0.707853E-04   0.623821E+07   0.623821E+07   0.826077E+07   0.826049E+07   0.624184E+07   0.623826E+07   0.623821E+07   0.624397E+07  -0.596557E+00   0.612509E+07   0.612509E+07   0.146700E+00
   0.782298E-04   0.623816E+07   0.623816E+07   0.824815E+07   0.824782E+07   0.624146E+07   0.623819E+07   0.623816E+07   0.624390E+07  -0.596550E+00   0.612503E+07   0.612503E+07   0.162114E+00
   0.864573E-04   0.623809E+07   0.623809E+07   0.823277E+07   0.823236E+07   0.624100E+07   0.623812E+07   0.623809E+07   0.624382E+07  -0.596542E+00   0.612496E+07   0.612496E+07   0.179143E+00
   0.955501E-04   0.623800E+07   0.623800E+07   0.821402E+07   0.821352E+07   0.624044E+07   0.623803E+07   0.623800E+07   0.624371E+07  -0.596532E+00   0.612487E+07   0.612487E+07   0.197957E+00
   0.105599E-03   0.623790E+07   0.623790E+07   0.819118E+07   0.819057E+07   0.623975E+07   0.623792E+07   0.623790E+07   0.624359E+07  -0.596519E+00   0.612477E+07   0.612477E+07   0.218740E+00
   0.116705E-03   0.623777E+07   0.623777E+07   0.816335E+07   0.816261E+07   0.623891E+07   0.623778E+07   0.623777E+07   0.624343E+07  -0.596504E+00   0.612464E+07   0.612464E+07   0.241696E+00
   0.128979E-03   0.623762E+07   0.623762E+07   0.812949E+07   0.812859E+07   0.623789E+07   0.623762E+07   0.623762E+07   0.624324E+07  -0.596485E+00   0.612448E+07   0.612448E+07   0.267049E+00
   0.142544E-03   0.623743E+07   0.623743E+07   0.808830E+07   0.808722E+07   0.623664E+07   0.623742E+07   0.623743E+07   0.624301E+07  -0.596463E+00   0.612429E+07   0.612429E+07   0.295045E+00
   0.157535E-03   0.623720E+07   0.623719E+07   0.803827E+07   0.803695E+07   0.623512E+07   0.623717E+07   0.623720E+07   0.624273E+07  -0.596435E+00   0.612406E+07   0.612406E+07   0.325955E+00
   0.174104E-03   0.623692E+07   0.623691E+07   0.797755E+07   0.797596E+07   0.623325E+07   0.623687E+07   0.623692E+07   0.624239E+07  -0.596401E+00   0.612377E+07   0.612377E+07   0.360074E+00
   0.192414E-03   0.623657E+07   0.623657E+07   0.790397E+07   0.790205E+07   0.623098E+07   0.623651E+07   0.623657E+07   0.624198E+07  -0.596360E+00   0.612342E+07   0.612342E+07   0.397725E+00
   0.212651E-03   0.623615E+07   0.623615E+07   0.781497E+07   0.781266E+07   0.622822E+07   0.623606E+07   0.623615E+07   0.624147E+07  -0.596310E+00   0.612300E+07   0.612300E+07   0.439261E+00
   0.235015E-03   0.623564E+07   0.623563E+07   0.770754E+07   0.770477E+07   0.622484E+07   0.623552E+07   0.623564E+07   0.624085E+07  -0.596248E+00   0.612248E+07   0.612248E+07   0.485064E+00
   0.259732E-03   0.623502E+07   0.623501E+07   0.757822E+07   0.757491E+07   0.622072E+07   0.623486E+07   0.623502E+07   0.624010E+07  -0.596174E+00   0.612184E+07   0.612184E+07   0.535549E+00
   0.287048E-03   0.623426E+07   0.623425E+07   0.742304E+07   0.741911E+07   0.621571E+07   0.623405E+07   0.623426E+07   0.623918E+07  -0.596083E+00   0.612107E+07   0.612107E+07   0.591164E+00
   0.317237E-03   0.623333E+07   0.623332E+07   0.723758E+07   0.723294E+07   0.620960E+07   0.623306E+07   0.623333E+07   0.623807E+07  -0.595973E+00   0.612013E+07   0.612013E+07   0.652387E+00
   0.350602E-03   0.623221E+07   0.623219E+07   0.701700E+07   0.701157E+07   0.620217E+07   0.623187E+07   0.623220E+07   0.623672E+07  -0.595839E+00   0.611899E+07   0.611899E+07   0.719729E+00
   0.387475E-03   0.623084E+07   0.623082E+07   0.675625E+07   0.674994E+07   0.619313E+07   0.623041E+07   0.623083E+07   0.623508E+07  -0.595677E+00   0.611759E+07   0.611759E+07   0.793730E+00
   0.428226E-03   0.622917E+07   0.622915E+07   0.645026E+07   0.644304E+07   0.618215E+07   0.622864E+07   0.622917E+07   0.623310E+07  -0.595480E+00   0.611590E+07   0.611590E+07   0.874954E+00
   0.473263E-03   0.622715E+07   0.622712E+07   0.609449E+07   0.608634E+07   0.616882E+07   0.622649E+07   0.622714E+07   0.623070E+07  -0.595242E+00   0.611384E+07   0.611384E+07   0.963987E+00
   0.523036E-03   0.622469E+07   0.622466E+07   0.568547E+07   0.567647E+07   0.615267E+07   0.622388E+07   0.622469E+07   0.622781E+07  -0.594956E+00   0.611134E+07   0.611134E+07   0.106143E+01
   0.578045E-03   0.622172E+07   0.622168E+07   0.522183E+07   0.521213E+07   0.613313E+07   0.622072E+07   0.622172E+07   0.622433E+07  -0.594610E+00   0.610831E+07   0.610830E+07   0.116787E+01
   0.638838E-03   0.621813E+07   0.621808E+07   0.470543E+07   0.469532E+07   0.610954E+07   0.621690E+07   0.621812E+07   0.622016E+07  -0.594196E+00   0.610464E+07   0.610464E+07   0.128392E+01
   0.706025E-03   0.621380E+07   0.621374E+07   0.414277E+07   0.413270E+07   0.608110E+07   0.621230E+07   0.621379E+07   0.621516E+07  -0.593701E+00   0.610021E+07   0.610021E+07   0.141015E+01
   0.780278E-03   0.620858E+07   0.620852E+07   0.354651E+07   0.353711E+07   0.604699E+07   0.620675E+07   0.620857E+07   0.620921E+07  -0.593110E+00   0.609487E+07   0.609487E+07   0.154712E+01
   0.862341E-03   0.620233E+07   0.620224E+07   0.293661E+07   0.292863E+07   0.600620E+07   0.620011E+07   0.620231E+07   0.620214E+07  -0.592410E+00   0.608845E+07   0.608845E+07   0.169536E+01
   0.953034E-03   0.619484E+07   0.619474E+07   0.234051E+07   0.233476E+07   0.595766E+07   0.619215E+07   0.619482E+07   0.619377E+07  -0.591582E+00   0.608076E+07   0.608076E+07   0.185541E+01
   0.105327E-02   0.618591E+07   0.618579E+07   0.179154E+07   0.178869E+07   0.590017E+07   0.618268E+07   0.618589E+07   0.618392E+07  -0.590608E+00   0.607159E+07   0.607158E+07   0.202780E+01
   0.116404E-02   0.617532E+07   0.617516E+07   0.132444E+07   0.132476E+07   0.583253E+07   0.617143E+07   0.617529E+07   0.617235E+07  -0.589468E+00   0.606068E+07   0.606068E+07   0.221315E+01
   0.128646E-02   0.616279E+07   0.616260E+07   0.967611E+06   0.970669E+06   0.575354E+07   0.615815E+07   0.616276E+07   0.615882E+07  -0.588140E+00   0.604778E+07   0.604777E+07   0.241219E+01
   0.142176E-02   0.614805E+07   0.614782E+07   0.732865E+06   0.737336E+06   0.566213E+07   0.614254E+07   0.614801E+07   0.614305E+07  -0.586599E+00   0.603260E+07   0.603259E+07   0.262583E+01
   0.157129E-02   0.613078E+07   0.613050E+07   0.606259E+06   0.610137E+06   0.555744E+07   0.612428E+07   0.613074E+07   0.612470E+07  -0.584815E+00   0.601484E+07   0.601482E+07   0.285524E+01
   0.173654E-02   0.611065E+07   0.611032E+07   0.546560E+06   0.547940E+06   0.543902E+07   0.610304E+07   0.611060E+07   0.610342E+07  -0.582758E+00   0.599416E+07   0.599415E+07   0.310182E+01
   0.191918E-02   0.608736E+07   0.608695E+07   0.498502E+06   0.496826E+06   0.531036E+07   0.607855E+07   0.608729E+07   0.607889E+07  -0.580398E+00   0.597032E+07   0.597030E+07   0.336710E+01
   0.212102E-02   0.606043E+07   0.605993E+07   0.421343E+06   0.418275E+06   0.516635E+07   0.605028E+07   0.606035E+07   0.605058E+07  -0.577683E+00   0.594283E+07   0.594281E+07   0.365266E+01
   0.234409E-02   0.602948E+07   0.602888E+07   0.317141E+06   0.315688E+06   0.501005E+07   0.601791E+07   0.602939E+07   0.601813E+07  -0.574577E+00   0.591134E+07   0.591132E+07   0.395997E+01
   0.259062E-02   0.599412E+07   0.599338E+07   0.228128E+06   0.229655E+06   0.484462E+07   0.598106E+07   0.599400E+07   0.598122E+07  -0.571044E+00   0.587550E+07   0.587547E+07   0.429045E+01
   0.286307E-02   0.595391E+07   0.595302E+07   0.188160E+06   0.190183E+06   0.467189E+07   0.593934E+07   0.595377E+07   0.593947E+07  -0.567048E+00   0.583489E+07   0.583486E+07   0.464557E+01
   0.316418E-02   0.590845E+07   0.590737E+07   0.174319E+06   0.173606E+06   0.449332E+07   0.589235E+07   0.590828E+07   0.589248E+07  -0.562552E+00   0.578914E+07   0.578909E+07   0.502709E+01
   0.349696E-02   0.585735E+07   0.585603E+07   0.140315E+06   0.138687E+06   0.430998E+07   0.583972E+07   0.585714E+07   0.583982E+07  -0.557519E+00   0.573786E+07   0.573781E+07   0.543685E+01
   0.386474E-02   0.580020E+07   0.579860E+07   0.991558E+05   0.100224E+06   0.412186E+07   0.578106E+07   0.579995E+07   0.578113E+07  -0.551912E+00   0.568070E+07   0.568064E+07   0.587656E+01
   0.427120E-02   0.573663E+07   0.573469E+07   0.877266E+05   0.882650E+05   0.392773E+07   0.571597E+07   0.573633E+07   0.571603E+07  -0.545691E+00   0.561727E+07   0.561720E+07   0.634789E+01
   0.472041E-02   0.566624E+07   0.566390E+07   0.742837E+05   0.726213E+05   0.372641E+07   0.564404E+07   0.566588E+07   0.564410E+07  -0.538820E+00   0.554717E+07   0.554708E+07   0.685252E+01
   0.521686E-02   0.558864E+07   0.558580E+07   0.539945E+05   0.535011E+05   0.351805E+07   0.556489E+07   0.558820E+07   0.556493E+07  -0.531260E+00   0.547001E+07   0.546991E+07   0.739193E+01
   0.576552E-02   0.550343E+07   0.550000E+07   0.518719E+05   0.480654E+05   0.330476E+07   0.547815E+07   0.550289E+07   0.547818E+07  -0.522974E+00   0.538540E+07   0.538528E+07   0.796723E+01
   0.637188E-02   0.541020E+07   0.540606E+07   0.359085E+05   0.346740E+05   0.308930E+07   0.538343E+07   0.540955E+07   0.538346E+07  -0.513929E+00   0.529296E+07   0.529282E+07   0.857916E+01
