#           k/h    P           
    0.58104E-05    0.12317E+01
    0.64215E-05    0.13562E+01
    0.70968E-05    0.14932E+01
    0.78432E-05    0.16440E+01
    0.86681E-05    0.18101E+01
    0.95797E-05    0.19930E+01
    0.10587E-04    0.21943E+01
    0.11701E-04    0.24160E+01
    0.12931E-04    0.26601E+01
    0.14291E-04    0.29288E+01
    0.15794E-04    0.32246E+01
    0.17455E-04    0.35504E+01
    0.19291E-04    0.39091E+01
    0.21320E-04    0.43040E+01
    0.23562E-04    0.47388E+01
    0.26040E-04    0.52175E+01
    0.28779E-04    0.57446E+01
    0.31806E-04    0.63249E+01
    0.35151E-04    0.69638E+01
    0.38848E-04    0.76673E+01
    0.42933E-04    0.84418E+01
    0.47449E-04    0.92946E+01
    0.52439E-04    0.10233E+02
    0.57954E-04    0.11267E+02
    0.64049E-04    0.12405E+02
    0.70785E-04    0.13658E+02
    0.78230E-04    0.15038E+02
    0.86457E-04    0.16557E+02
    0.95550E-04    0.18229E+02
    0.10560E-03    0.20070E+02
    0.11671E-03    0.22096E+02
    0.12898E-03    0.24327E+02
    0.14254E-03    0.26783E+02
    0.15754E-03    0.29487E+02
    0.17410E-03    0.32463E+02
    0.19241E-03    0.35738E+02
    0.21265E-03    0.39344E+02
    0.23502E-03    0.43311E+02
    0.25973E-03    0.47677E+02
    0.28705E-03    0.52481E+02
    0.31724E-03    0.57766E+02
    0.35060E-03    0.63579E+02
    0.38747E-03    0.69972E+02
    0.42823E-03    0.77000E+02
    0.47326E-03    0.84724E+02
    0.52304E-03    0.93210E+02
    0.57804E-03    0.10253E+03
    0.63884E-03    0.11276E+03
    0.70603E-03    0.12397E+03
    0.78028E-03    0.13627E+03
    0.86234E-03    0.14973E+03
    0.95303E-03    0.16445E+03
    0.10533E-02    0.18054E+03
    0.11640E-02    0.19808E+03
    0.12865E-02    0.21719E+03
    0.14218E-02    0.23795E+03
    0.15713E-02    0.26047E+03
    0.17365E-02    0.28483E+03
    0.19192E-02    0.31113E+03
    0.21210E-02    0.33942E+03
    0.23441E-02    0.36976E+03
    0.25906E-02    0.40219E+03
    0.28631E-02    0.43671E+03
    0.31642E-02    0.47330E+03
    0.34970E-02    0.51190E+03
    0.38647E-02    0.55242E+03
    0.42712E-02    0.59468E+03
    0.47204E-02    0.63847E+03
    0.52169E-02    0.68349E+03
    0.57655E-02    0.72937E+03
    0.63719E-02    0.77565E+03
    0.70420E-02    0.82175E+03
    0.77826E-02    0.86699E+03
    0.86011E-02    0.91056E+03
    0.95057E-02    0.95152E+03
    0.10505E-01    0.98884E+03
    0.11610E-01    0.10213E+04
    0.12831E-01    0.10476E+04
    0.14181E-01    0.10664E+04
    0.15672E-01    0.10763E+04
    0.17321E-01    0.10758E+04
    0.19142E-01    0.10637E+04
    0.21155E-01    0.10394E+04
    0.23380E-01    0.10024E+04
    0.25839E-01    0.95348E+03
    0.28557E-01    0.89414E+03
    0.31560E-01    0.82720E+03
    0.34879E-01    0.75651E+03
    0.38548E-01    0.68663E+03
    0.42602E-01    0.62216E+03
    0.47082E-01    0.56670E+03
    0.52034E-01    0.52181E+03
    0.57506E-01    0.48593E+03
    0.63554E-01    0.45395E+03
    0.70238E-01    0.41831E+03
    0.77625E-01    0.37279E+03
    0.85789E-01    0.31804E+03
    0.94812E-01    0.26367E+03
    0.10478E+00    0.22208E+03
    0.11580E+00    0.19741E+03
    0.12798E+00    0.17999E+03
    0.14144E+00    0.15528E+03
    0.15632E+00    0.12456E+03
    0.17276E+00    0.10316E+03
    0.19093E+00    0.91682E+02
    0.21101E+00    0.76461E+02
    0.23320E+00    0.61292E+02
    0.25773E+00    0.52716E+02
    0.28483E+00    0.42876E+02
    0.31479E+00    0.35377E+02
    0.34789E+00    0.29033E+02
    0.38448E+00    0.23734E+02
    0.42492E+00    0.19264E+02
    0.46961E+00    0.15683E+02
    0.51900E+00    0.12674E+02
    0.57358E+00    0.10217E+02
    0.63390E+00    0.82185E+01
    0.70057E+00    0.65926E+01
    0.77425E+00    0.52747E+01
    0.85568E+00    0.42097E+01
    0.94567E+00    0.33519E+01
    0.10451E+01    0.26629E+01
    0.11550E+01    0.21110E+01
    0.12765E+01    0.16702E+01
    0.14108E+01    0.13188E+01
    0.15591E+01    0.10394E+01
    0.17231E+01    0.81781E+00
    0.19043E+01    0.64234E+00
    0.21046E+01    0.50370E+00
    0.23260E+01    0.39438E+00
    0.25706E+01    0.30832E+00
    0.28410E+01    0.24071E+00
    0.31397E+01    0.18766E+00
    0.34700E+01    0.14611E+00
    0.38349E+01    0.11362E+00
    0.42382E+01    0.88251E-01
    0.46839E+01    0.68465E-01
    0.51766E+01    0.53057E-01
    0.57210E+01    0.41072E-01
    0.63227E+01    0.31761E-01
    0.69876E+01    0.24537E-01
    0.77225E+01    0.18938E-01
    0.85347E+01    0.14603E-01
    0.94323E+01    0.11251E-01
    0.10424E+02    0.86605E-02
    0.11521E+02    0.66610E-02
    0.12732E+02    0.51191E-02
    0.14071E+02    0.39310E-02
    0.15551E+02    0.30164E-02
    0.17187E+02    0.23130E-02
    0.18994E+02    0.17723E-02
    0.20992E+02    0.13571E-02
    0.23200E+02    0.10384E-02
    0.25640E+02    0.79411E-03
    0.28336E+02    0.60687E-03
    0.31316E+02    0.46349E-03
    0.34610E+02    0.35376E-03
    0.38250E+02    0.26985E-03
    0.42273E+02    0.20571E-03
    0.46718E+02    0.15672E-03
    0.51632E+02    0.11932E-03
