#           k/h    P           
    0.58104E-05    0.83296E-02
    0.64215E-05    0.91711E-02
    0.70968E-05    0.10098E-01
    0.78432E-05    0.11118E-01
    0.86681E-05    0.12241E-01
    0.95797E-05    0.13477E-01
    0.10587E-04    0.14839E-01
    0.11701E-04    0.16338E-01
    0.12931E-04    0.17989E-01
    0.14291E-04    0.19806E-01
    0.15794E-04    0.21807E-01
    0.17455E-04    0.24010E-01
    0.19291E-04    0.26435E-01
    0.21320E-04    0.29106E-01
    0.23562E-04    0.32046E-01
    0.26040E-04    0.35283E-01
    0.28779E-04    0.38848E-01
    0.31806E-04    0.42772E-01
    0.35151E-04    0.47093E-01
    0.38848E-04    0.51851E-01
    0.42933E-04    0.57089E-01
    0.47449E-04    0.62856E-01
    0.52439E-04    0.69205E-01
    0.57954E-04    0.76196E-01
    0.64049E-04    0.83893E-01
    0.70785E-04    0.92368E-01
    0.78230E-04    0.10170E+00
    0.86457E-04    0.11197E+00
    0.95550E-04    0.12328E+00
    0.10560E-03    0.13573E+00
    0.11671E-03    0.14944E+00
    0.12898E-03    0.16454E+00
    0.14254E-03    0.18115E+00
    0.15754E-03    0.19945E+00
    0.17410E-03    0.21959E+00
    0.19241E-03    0.24176E+00
    0.21265E-03    0.26617E+00
    0.23502E-03    0.29304E+00
    0.25973E-03    0.32261E+00
    0.28705E-03    0.35516E+00
    0.31724E-03    0.39099E+00
    0.35060E-03    0.43042E+00
    0.38747E-03    0.47381E+00
    0.42823E-03    0.52155E+00
    0.47326E-03    0.57406E+00
    0.52304E-03    0.63183E+00
    0.57804E-03    0.69535E+00
    0.63884E-03    0.76519E+00
    0.70603E-03    0.84194E+00
    0.78028E-03    0.92625E+00
    0.86234E-03    0.10188E+01
    0.95303E-03    0.11204E+01
    0.10533E-02    0.12318E+01
    0.11640E-02    0.13539E+01
    0.12865E-02    0.14875E+01
    0.14218E-02    0.16335E+01
    0.15713E-02    0.17929E+01
    0.17365E-02    0.19665E+01
    0.19192E-02    0.21552E+01
    0.21210E-02    0.23598E+01
    0.23441E-02    0.25809E+01
    0.25906E-02    0.28190E+01
    0.28631E-02    0.30743E+01
    0.31642E-02    0.33466E+01
    0.34970E-02    0.36356E+01
    0.38647E-02    0.39403E+01
    0.42712E-02    0.42592E+01
    0.47204E-02    0.45906E+01
    0.52169E-02    0.49322E+01
    0.57655E-02    0.52810E+01
    0.63719E-02    0.56338E+01
    0.70420E-02    0.59867E+01
    0.77826E-02    0.63346E+01
    0.86011E-02    0.66713E+01
    0.95057E-02    0.69892E+01
    0.10505E-01    0.72794E+01
    0.11610E-01    0.75326E+01
    0.12831E-01    0.77396E+01
    0.14181E-01    0.78908E+01
    0.15672E-01    0.79756E+01
    0.17321E-01    0.79825E+01
    0.19142E-01    0.79024E+01
    0.21155E-01    0.77297E+01
    0.23380E-01    0.74622E+01
    0.25839E-01    0.71040E+01
    0.28557E-01    0.66672E+01
    0.31560E-01    0.61724E+01
    0.34879E-01    0.56485E+01
    0.38548E-01    0.51296E+01
    0.42602E-01    0.46501E+01
    0.47082E-01    0.42373E+01
    0.52034E-01    0.39029E+01
    0.57506E-01    0.36354E+01
    0.63554E-01    0.33969E+01
    0.70238E-01    0.31308E+01
    0.77625E-01    0.27907E+01
    0.85789E-01    0.23814E+01
    0.94812E-01    0.19748E+01
    0.10478E+00    0.16635E+01
    0.11580E+00    0.14787E+01
    0.12798E+00    0.13483E+01
    0.14144E+00    0.11633E+01
    0.15632E+00    0.93329E+00
    0.17276E+00    0.77301E+00
    0.19093E+00    0.68694E+00
    0.21101E+00    0.57294E+00
    0.23320E+00    0.45931E+00
    0.25773E+00    0.39503E+00
    0.28483E+00    0.32132E+00
    0.31479E+00    0.26512E+00
    0.34789E+00    0.21758E+00
    0.38448E+00    0.17787E+00
    0.42492E+00    0.14437E+00
    0.46961E+00    0.11753E+00
    0.51900E+00    0.94981E-01
    0.57358E+00    0.76575E-01
    0.63390E+00    0.61594E-01
    0.70057E+00    0.49409E-01
    0.77425E+00    0.39532E-01
    0.85568E+00    0.31550E-01
    0.94567E+00    0.25121E-01
    0.10451E+01    0.19958E-01
    0.11550E+01    0.15822E-01
    0.12765E+01    0.12517E-01
    0.14108E+01    0.98841E-02
    0.15591E+01    0.77904E-02
    0.17231E+01    0.61293E-02
    0.19043E+01    0.48142E-02
    0.21046E+01    0.37751E-02
    0.23260E+01    0.29558E-02
    0.25706E+01    0.23108E-02
    0.28410E+01    0.18040E-02
    0.31397E+01    0.14065E-02
    0.34700E+01    0.10951E-02
    0.38349E+01    0.85159E-03
    0.42382E+01    0.66143E-03
    0.46839E+01    0.51314E-03
    0.51766E+01    0.39765E-03
    0.57210E+01    0.30783E-03
    0.63227E+01    0.23805E-03
    0.69876E+01    0.18391E-03
    0.77225E+01    0.14194E-03
    0.85347E+01    0.10945E-03
    0.94323E+01    0.84327E-04
    0.10424E+02    0.64913E-04
    0.11521E+02    0.49927E-04
    0.12732E+02    0.38371E-04
    0.14071E+02    0.29466E-04
    0.15551E+02    0.22611E-04
    0.17187E+02    0.17339E-04
    0.18994E+02    0.13286E-04
    0.20992E+02    0.10174E-04
    0.23200E+02    0.77858E-05
    0.25640E+02    0.59543E-05
    0.28336E+02    0.45508E-05
    0.31316E+02    0.34760E-05
    0.34610E+02    0.26535E-05
    0.38250E+02    0.20244E-05
    0.42273E+02    0.15436E-05
    0.46718E+02    0.11763E-05
    0.51632E+02    0.89590E-06
