#           k/h    P           
    0.58104E-05    0.44328E+00
    0.64215E-05    0.48806E+00
    0.70968E-05    0.53736E+00
    0.78432E-05    0.59165E+00
    0.86681E-05    0.65142E+00
    0.95797E-05    0.71723E+00
    0.10587E-04    0.78969E+00
    0.11701E-04    0.86946E+00
    0.12931E-04    0.95730E+00
    0.14291E-04    0.10540E+01
    0.15794E-04    0.11605E+01
    0.17455E-04    0.12777E+01
    0.19291E-04    0.14068E+01
    0.21320E-04    0.15489E+01
    0.23562E-04    0.17054E+01
    0.26040E-04    0.18777E+01
    0.28779E-04    0.20674E+01
    0.31806E-04    0.22762E+01
    0.35151E-04    0.25061E+01
    0.38848E-04    0.27593E+01
    0.42933E-04    0.30380E+01
    0.47449E-04    0.33449E+01
    0.52439E-04    0.36828E+01
    0.57954E-04    0.40548E+01
    0.64049E-04    0.44644E+01
    0.70785E-04    0.49154E+01
    0.78230E-04    0.54119E+01
    0.86457E-04    0.59585E+01
    0.95550E-04    0.65602E+01
    0.10560E-03    0.72228E+01
    0.11671E-03    0.79522E+01
    0.12898E-03    0.87551E+01
    0.14254E-03    0.96391E+01
    0.15754E-03    0.10612E+02
    0.17410E-03    0.11683E+02
    0.19241E-03    0.12862E+02
    0.21265E-03    0.14160E+02
    0.23502E-03    0.15588E+02
    0.25973E-03    0.17160E+02
    0.28705E-03    0.18890E+02
    0.31724E-03    0.20792E+02
    0.35060E-03    0.22886E+02
    0.38747E-03    0.25188E+02
    0.42823E-03    0.27719E+02
    0.47326E-03    0.30502E+02
    0.52304E-03    0.33559E+02
    0.57804E-03    0.36918E+02
    0.63884E-03    0.40605E+02
    0.70603E-03    0.44650E+02
    0.78028E-03    0.49086E+02
    0.86234E-03    0.53944E+02
    0.95303E-03    0.59261E+02
    0.10533E-02    0.65071E+02
    0.11640E-02    0.71413E+02
    0.12865E-02    0.78322E+02
    0.14218E-02    0.85835E+02
    0.15713E-02    0.93987E+02
    0.17365E-02    0.10281E+03
    0.19192E-02    0.11233E+03
    0.21210E-02    0.12258E+03
    0.23441E-02    0.13357E+03
    0.25906E-02    0.14532E+03
    0.28631E-02    0.15783E+03
    0.31642E-02    0.17109E+03
    0.34970E-02    0.18508E+03
    0.38647E-02    0.19977E+03
    0.42712E-02    0.21511E+03
    0.47204E-02    0.23100E+03
    0.52169E-02    0.24735E+03
    0.57655E-02    0.26402E+03
    0.63719E-02    0.28084E+03
    0.70420E-02    0.29760E+03
    0.77826E-02    0.31407E+03
    0.86011E-02    0.32994E+03
    0.95057E-02    0.34486E+03
    0.10505E-01    0.35848E+03
    0.11610E-01    0.37035E+03
    0.12831E-01    0.37999E+03
    0.14181E-01    0.38689E+03
    0.15672E-01    0.39055E+03
    0.17321E-01    0.39046E+03
    0.19142E-01    0.38618E+03
    0.21155E-01    0.37741E+03
    0.23380E-01    0.36407E+03
    0.25839E-01    0.34635E+03
    0.28557E-01    0.32486E+03
    0.31560E-01    0.30058E+03
    0.34879E-01    0.27493E+03
    0.38548E-01    0.24957E+03
    0.42602E-01    0.22616E+03
    0.47082E-01    0.20603E+03
    0.52034E-01    0.18973E+03
    0.57506E-01    0.17669E+03
    0.63554E-01    0.16508E+03
    0.70238E-01    0.15213E+03
    0.77625E-01    0.13558E+03
    0.85789E-01    0.11567E+03
    0.94812E-01    0.95906E+02
    0.10478E+00    0.80780E+02
    0.11580E+00    0.71809E+02
    0.12798E+00    0.65475E+02
    0.14144E+00    0.56487E+02
    0.15632E+00    0.45313E+02
    0.17276E+00    0.37530E+02
    0.19093E+00    0.33354E+02
    0.21101E+00    0.27817E+02
    0.23320E+00    0.22298E+02
    0.25773E+00    0.19179E+02
    0.28483E+00    0.15599E+02
    0.31479E+00    0.12871E+02
    0.34789E+00    0.10563E+02
    0.38448E+00    0.86350E+01
    0.42492E+00    0.70086E+01
    0.46961E+00    0.57058E+01
    0.51900E+00    0.46109E+01
    0.57358E+00    0.37173E+01
    0.63390E+00    0.29901E+01
    0.70057E+00    0.23986E+01
    0.77425E+00    0.19191E+01
    0.85568E+00    0.15316E+01
    0.94567E+00    0.12195E+01
    0.10451E+01    0.96883E+00
    0.11550E+01    0.76805E+00
    0.12765E+01    0.60765E+00
    0.14108E+01    0.47982E+00
    0.15591E+01    0.37818E+00
    0.17231E+01    0.29754E+00
    0.19043E+01    0.23370E+00
    0.21046E+01    0.18326E+00
    0.23260E+01    0.14349E+00
    0.25706E+01    0.11218E+00
    0.28410E+01    0.87575E-01
    0.31397E+01    0.68276E-01
    0.34700E+01    0.53160E-01
    0.38349E+01    0.41339E-01
    0.42382E+01    0.32108E-01
    0.46839E+01    0.24909E-01
    0.51766E+01    0.19303E-01
    0.57210E+01    0.14943E-01
    0.63227E+01    0.11556E-01
    0.69876E+01    0.89273E-02
    0.77225E+01    0.68903E-02
    0.85347E+01    0.53131E-02
    0.94323E+01    0.40934E-02
    0.10424E+02    0.31509E-02
    0.11521E+02    0.24235E-02
    0.12732E+02    0.18625E-02
    0.14071E+02    0.14302E-02
    0.15551E+02    0.10975E-02
    0.17187E+02    0.84153E-03
    0.18994E+02    0.64482E-03
    0.20992E+02    0.49376E-03
    0.23200E+02    0.37783E-03
    0.25640E+02    0.28893E-03
    0.28336E+02    0.22081E-03
    0.31316E+02    0.16864E-03
    0.34610E+02    0.12872E-03
    0.38250E+02    0.98185E-04
    0.42273E+02    0.74850E-04
    0.46718E+02    0.57026E-04
    0.51632E+02    0.43420E-04
