#           k/h    P           
    0.58104E-05    0.69321E+00
    0.64215E-05    0.76324E+00
    0.70968E-05    0.84035E+00
    0.78432E-05    0.92524E+00
    0.86681E-05    0.10187E+01
    0.95797E-05    0.11216E+01
    0.10587E-04    0.12349E+01
    0.11701E-04    0.13597E+01
    0.12931E-04    0.14971E+01
    0.14291E-04    0.16483E+01
    0.15794E-04    0.18148E+01
    0.17455E-04    0.19981E+01
    0.19291E-04    0.22000E+01
    0.21320E-04    0.24222E+01
    0.23562E-04    0.26669E+01
    0.26040E-04    0.29364E+01
    0.28779E-04    0.32330E+01
    0.31806E-04    0.35596E+01
    0.35151E-04    0.39192E+01
    0.38848E-04    0.43151E+01
    0.42933E-04    0.47510E+01
    0.47449E-04    0.52309E+01
    0.52439E-04    0.57593E+01
    0.57954E-04    0.63411E+01
    0.64049E-04    0.69816E+01
    0.70785E-04    0.76868E+01
    0.78230E-04    0.84632E+01
    0.86457E-04    0.93180E+01
    0.95550E-04    0.10259E+02
    0.10560E-03    0.11295E+02
    0.11671E-03    0.12436E+02
    0.12898E-03    0.13691E+02
    0.14254E-03    0.15074E+02
    0.15754E-03    0.16595E+02
    0.17410E-03    0.18270E+02
    0.19241E-03    0.20114E+02
    0.21265E-03    0.22143E+02
    0.23502E-03    0.24377E+02
    0.25973E-03    0.26834E+02
    0.28705E-03    0.29538E+02
    0.31724E-03    0.32513E+02
    0.35060E-03    0.35786E+02
    0.38747E-03    0.39385E+02
    0.42823E-03    0.43342E+02
    0.47326E-03    0.47692E+02
    0.52304E-03    0.52471E+02
    0.57804E-03    0.57719E+02
    0.63884E-03    0.63481E+02
    0.70603E-03    0.69802E+02
    0.78028E-03    0.76730E+02
    0.86234E-03    0.84318E+02
    0.95303E-03    0.92619E+02
    0.10533E-02    0.10169E+03
    0.11640E-02    0.11159E+03
    0.12865E-02    0.12237E+03
    0.14218E-02    0.13408E+03
    0.15713E-02    0.14680E+03
    0.17365E-02    0.16055E+03
    0.19192E-02    0.17540E+03
    0.21210E-02    0.19137E+03
    0.23441E-02    0.20850E+03
    0.25906E-02    0.22681E+03
    0.28631E-02    0.24631E+03
    0.31642E-02    0.26697E+03
    0.34970E-02    0.28878E+03
    0.38647E-02    0.31167E+03
    0.42712E-02    0.33555E+03
    0.47204E-02    0.36031E+03
    0.52169E-02    0.38576E+03
    0.57655E-02    0.41171E+03
    0.63719E-02    0.43789E+03
    0.70420E-02    0.46398E+03
    0.77826E-02    0.48959E+03
    0.86011E-02    0.51426E+03
    0.95057E-02    0.53747E+03
    0.10505E-01    0.55862E+03
    0.11610E-01    0.57706E+03
    0.12831E-01    0.59201E+03
    0.14181E-01    0.60271E+03
    0.15672E-01    0.60834E+03
    0.17321E-01    0.60814E+03
    0.19142E-01    0.60141E+03
    0.21155E-01    0.58771E+03
    0.23380E-01    0.56689E+03
    0.25839E-01    0.53926E+03
    0.28557E-01    0.50575E+03
    0.31560E-01    0.46793E+03
    0.34879E-01    0.42798E+03
    0.38548E-01    0.38848E+03
    0.42602E-01    0.35203E+03
    0.47082E-01    0.32067E+03
    0.52034E-01    0.29528E+03
    0.57506E-01    0.27499E+03
    0.63554E-01    0.25691E+03
    0.70238E-01    0.23675E+03
    0.77625E-01    0.21099E+03
    0.85789E-01    0.18001E+03
    0.94812E-01    0.14924E+03
    0.10478E+00    0.12570E+03
    0.11580E+00    0.11174E+03
    0.12798E+00    0.10188E+03
    0.14144E+00    0.87897E+02
    0.15632E+00    0.70509E+02
    0.17276E+00    0.58398E+02
    0.19093E+00    0.51899E+02
    0.21101E+00    0.43283E+02
    0.23320E+00    0.34697E+02
    0.25773E+00    0.29842E+02
    0.28483E+00    0.24272E+02
    0.31479E+00    0.20027E+02
    0.34789E+00    0.16435E+02
    0.38448E+00    0.13436E+02
    0.42492E+00    0.10905E+02
    0.46961E+00    0.88781E+01
    0.51900E+00    0.71745E+01
    0.57358E+00    0.57841E+01
    0.63390E+00    0.46525E+01
    0.70057E+00    0.37321E+01
    0.77425E+00    0.29861E+01
    0.85568E+00    0.23831E+01
    0.94567E+00    0.18975E+01
    0.10451E+01    0.15075E+01
    0.11550E+01    0.11951E+01
    0.12765E+01    0.94549E+00
    0.14108E+01    0.74658E+00
    0.15591E+01    0.58844E+00
    0.17231E+01    0.46297E+00
    0.19043E+01    0.36363E+00
    0.21046E+01    0.28515E+00
    0.23260E+01    0.22326E+00
    0.25706E+01    0.17454E+00
    0.28410E+01    0.13627E+00
    0.31397E+01    0.10624E+00
    0.34700E+01    0.82716E-01
    0.38349E+01    0.64323E-01
    0.42382E+01    0.49960E-01
    0.46839E+01    0.38759E-01
    0.51766E+01    0.30036E-01
    0.57210E+01    0.23251E-01
    0.63227E+01    0.17980E-01
    0.69876E+01    0.13891E-01
    0.77225E+01    0.10721E-01
    0.85347E+01    0.82671E-02
    0.94323E+01    0.63692E-02
    0.10424E+02    0.49028E-02
    0.11521E+02    0.37708E-02
    0.12732E+02    0.28980E-02
    0.14071E+02    0.22254E-02
    0.15551E+02    0.17076E-02
    0.17187E+02    0.13094E-02
    0.18994E+02    0.10033E-02
    0.20992E+02    0.76826E-03
    0.23200E+02    0.58788E-03
    0.25640E+02    0.44956E-03
    0.28336E+02    0.34356E-03
    0.31316E+02    0.26239E-03
    0.34610E+02    0.20027E-03
    0.38250E+02    0.15277E-03
    0.42273E+02    0.11646E-03
    0.46718E+02    0.88726E-04
    0.51632E+02    0.67556E-04
