#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.581041E-05   0.602180E+06   0.602180E+06   0.802904E+06   0.802904E+06   0.638914E+06   0.602639E+06   0.602180E+06   0.608325E+06  -0.602215E+00   0.600439E+06   0.600439E+06   0.973833E-01
   0.642149E-05   0.602180E+06   0.602180E+06   0.802904E+06   0.802903E+06   0.638914E+06   0.602639E+06   0.602180E+06   0.608324E+06  -0.602215E+00   0.600439E+06   0.600439E+06   0.107625E+00
   0.709685E-05   0.602180E+06   0.602180E+06   0.802903E+06   0.802902E+06   0.638913E+06   0.602639E+06   0.602180E+06   0.608324E+06  -0.602215E+00   0.600439E+06   0.600439E+06   0.118944E+00
   0.784323E-05   0.602180E+06   0.602180E+06   0.802902E+06   0.802901E+06   0.638913E+06   0.602639E+06   0.602180E+06   0.608324E+06  -0.602215E+00   0.600439E+06   0.600439E+06   0.131454E+00
   0.866811E-05   0.602180E+06   0.602180E+06   0.802900E+06   0.802900E+06   0.638912E+06   0.602639E+06   0.602180E+06   0.608324E+06  -0.602215E+00   0.600439E+06   0.600439E+06   0.145279E+00
   0.957974E-05   0.602180E+06   0.602180E+06   0.802899E+06   0.802898E+06   0.638912E+06   0.602639E+06   0.602180E+06   0.608324E+06  -0.602215E+00   0.600439E+06   0.600439E+06   0.160558E+00
   0.105873E-04   0.602180E+06   0.602180E+06   0.802897E+06   0.802896E+06   0.638911E+06   0.602639E+06   0.602180E+06   0.608324E+06  -0.602215E+00   0.600439E+06   0.600439E+06   0.177444E+00
   0.117007E-04   0.602180E+06   0.602180E+06   0.802894E+06   0.802894E+06   0.638910E+06   0.602639E+06   0.602180E+06   0.608324E+06  -0.602215E+00   0.600439E+06   0.600439E+06   0.196106E+00
   0.129313E-04   0.602180E+06   0.602180E+06   0.802892E+06   0.802891E+06   0.638908E+06   0.602638E+06   0.602180E+06   0.608324E+06  -0.602215E+00   0.600439E+06   0.600439E+06   0.216730E+00
   0.142913E-04   0.602180E+06   0.602180E+06   0.802888E+06   0.802887E+06   0.638907E+06   0.602638E+06   0.602180E+06   0.608324E+06  -0.602214E+00   0.600439E+06   0.600439E+06   0.239524E+00
   0.157943E-04   0.602180E+06   0.602180E+06   0.802884E+06   0.802883E+06   0.638905E+06   0.602638E+06   0.602180E+06   0.608324E+06  -0.602214E+00   0.600439E+06   0.600439E+06   0.264715E+00
