#           k/h    P           
    0.58104E-05    0.63405E-02
    0.64215E-05    0.69811E-02
    0.70968E-05    0.76863E-02
    0.78432E-05    0.84628E-02
    0.86681E-05    0.93177E-02
    0.95797E-05    0.10259E-01
    0.10587E-04    0.11295E-01
    0.11701E-04    0.12437E-01
    0.12931E-04    0.13693E-01
    0.14291E-04    0.15076E-01
    0.15794E-04    0.16599E-01
    0.17455E-04    0.18276E-01
    0.19291E-04    0.20122E-01
    0.21320E-04    0.22155E-01
    0.23562E-04    0.24394E-01
    0.26040E-04    0.26858E-01
    0.28779E-04    0.29571E-01
    0.31806E-04    0.32558E-01
    0.35151E-04    0.35847E-01
    0.38848E-04    0.39469E-01
    0.42933E-04    0.43456E-01
    0.47449E-04    0.47846E-01
    0.52439E-04    0.52679E-01
    0.57954E-04    0.58001E-01
    0.64049E-04    0.63860E-01
    0.70785E-04    0.70311E-01
    0.78230E-04    0.77413E-01
    0.86457E-04    0.85233E-01
    0.95550E-04    0.93843E-01
    0.10560E-03    0.10332E+00
    0.11671E-03    0.11376E+00
    0.12898E-03    0.12525E+00
    0.14254E-03    0.13790E+00
    0.15754E-03    0.15182E+00
    0.17410E-03    0.16715E+00
    0.19241E-03    0.18403E+00
    0.21265E-03    0.20261E+00
    0.23502E-03    0.22306E+00
    0.25973E-03    0.24558E+00
    0.28705E-03    0.27036E+00
    0.31724E-03    0.29764E+00
    0.35060E-03    0.32765E+00
    0.38747E-03    0.36069E+00
    0.42823E-03    0.39704E+00
    0.47326E-03    0.43702E+00
    0.52304E-03    0.48101E+00
    0.57804E-03    0.52939E+00
    0.63884E-03    0.58257E+00
    0.70603E-03    0.64103E+00
    0.78028E-03    0.70526E+00
    0.86234E-03    0.77580E+00
    0.95303E-03    0.85322E+00
    0.10533E-02    0.93814E+00
    0.11640E-02    0.10312E+01
    0.12865E-02    0.11331E+01
    0.14218E-02    0.12445E+01
    0.15713E-02    0.13662E+01
    0.17365E-02    0.14988E+01
    0.19192E-02    0.16431E+01
    0.21210E-02    0.17996E+01
    0.23441E-02    0.19690E+01
    0.25906E-02    0.21515E+01
    0.28631E-02    0.23474E+01
    0.31642E-02    0.25568E+01
    0.34970E-02    0.27792E+01
    0.38647E-02    0.30140E+01
    0.42712E-02    0.32601E+01
    0.47204E-02    0.35161E+01
    0.52169E-02    0.37801E+01
    0.57655E-02    0.40499E+01
    0.63719E-02    0.43229E+01
    0.70420E-02    0.45959E+01
    0.77826E-02    0.48651E+01
    0.86011E-02    0.51261E+01
    0.95057E-02    0.53728E+01
    0.10505E-01    0.55985E+01
    0.11610E-01    0.57955E+01
    0.12831E-01    0.59562E+01
    0.14181E-01    0.60736E+01
    0.15672E-01    0.61399E+01
    0.17321E-01    0.61467E+01
    0.19142E-01    0.60860E+01
    0.21155E-01    0.59536E+01
    0.23380E-01    0.57483E+01
    0.25839E-01    0.54730E+01
    0.28557E-01    0.51368E+01
    0.31560E-01    0.47560E+01
    0.34879E-01    0.43526E+01
    0.38548E-01    0.39530E+01
    0.42602E-01    0.35837E+01
    0.47082E-01    0.32657E+01
    0.52034E-01    0.30079E+01
    0.57506E-01    0.28018E+01
    0.63554E-01    0.26180E+01
    0.70238E-01    0.24129E+01
    0.77625E-01    0.21509E+01
    0.85789E-01    0.18355E+01
    0.94812E-01    0.15221E+01
    0.10478E+00    0.12822E+01
    0.11580E+00    0.11398E+01
    0.12798E+00    0.10392E+01
    0.14144E+00    0.89660E+00
    0.15632E+00    0.71938E+00
    0.17276E+00    0.59584E+00
    0.19093E+00    0.52948E+00
    0.21101E+00    0.44162E+00
    0.23320E+00    0.35404E+00
    0.25773E+00    0.30448E+00
    0.28483E+00    0.24767E+00
    0.31479E+00    0.20435E+00
    0.34789E+00    0.16771E+00
    0.38448E+00    0.13710E+00
    0.42492E+00    0.11128E+00
    0.46961E+00    0.90595E-01
    0.51900E+00    0.73212E-01
    0.57358E+00    0.59024E-01
    0.63390E+00    0.47477E-01
    0.70057E+00    0.38085E-01
    0.77425E+00    0.30472E-01
    0.85568E+00    0.24319E-01
    0.94567E+00    0.19363E-01
    0.10451E+01    0.15383E-01
    0.11550E+01    0.12195E-01
    0.12765E+01    0.96485E-02
    0.14108E+01    0.76187E-02
    0.15591E+01    0.60049E-02
    0.17231E+01    0.47245E-02
    0.19043E+01    0.37108E-02
    0.21046E+01    0.29099E-02
    0.23260E+01    0.22783E-02
    0.25706E+01    0.17812E-02
    0.28410E+01    0.13906E-02
    0.31397E+01    0.10841E-02
    0.34700E+01    0.84411E-03
    0.38349E+01    0.65641E-03
    0.42382E+01    0.50984E-03
    0.46839E+01    0.39553E-03
    0.51766E+01    0.30651E-03
    0.57210E+01    0.23728E-03
    0.63227E+01    0.18349E-03
    0.69876E+01    0.14176E-03
    0.77225E+01    0.10941E-03
    0.85347E+01    0.84369E-04
    0.94323E+01    0.65000E-04
    0.10424E+02    0.50036E-04
    0.11521E+02    0.38485E-04
    0.12732E+02    0.29577E-04
    0.14071E+02    0.22713E-04
    0.15551E+02    0.17429E-04
    0.17187E+02    0.13365E-04
    0.18994E+02    0.10241E-04
    0.20992E+02    0.78425E-05
    0.23200E+02    0.60015E-05
    0.25640E+02    0.45898E-05
    0.28336E+02    0.35080E-05
    0.31316E+02    0.26795E-05
    0.34610E+02    0.20455E-05
    0.38250E+02    0.15606E-05
    0.42273E+02    0.11900E-05
    0.46718E+02    0.90683E-06
    0.51632E+02    0.69069E-06
