#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.105599E-03   0.118679E+07   0.118679E+07   0.157816E+07   0.157806E+07   0.120918E+07   0.118705E+07   0.118679E+07   0.119278E+07  -0.601076E+00   0.118474E+07   0.118474E+07   0.979145E+00
   0.116705E-03   0.118678E+07   0.118677E+07   0.157721E+07   0.157708E+07   0.120896E+07   0.118703E+07   0.118678E+07   0.119276E+07  -0.601065E+00   0.118472E+07   0.118472E+07   0.108208E+01
   0.128979E-03   0.118676E+07   0.118676E+07   0.157604E+07   0.157589E+07   0.120868E+07   0.118701E+07   0.118676E+07   0.119273E+07  -0.601051E+00   0.118470E+07   0.118470E+07   0.119582E+01
   0.142544E-03   0.118674E+07   0.118673E+07   0.157462E+07   0.157443E+07   0.120835E+07   0.118699E+07   0.118673E+07   0.119270E+07  -0.601035E+00   0.118468E+07   0.118468E+07   0.132150E+01
   0.157535E-03   0.118671E+07   0.118671E+07   0.157289E+07   0.157266E+07   0.120794E+07   0.118695E+07   0.118671E+07   0.119266E+07  -0.601015E+00   0.118465E+07   0.118465E+07   0.146037E+01
   0.174104E-03   0.118668E+07   0.118667E+07   0.157077E+07   0.157049E+07   0.120744E+07   0.118692E+07   0.118667E+07   0.119262E+07  -0.600990E+00   0.118462E+07   0.118462E+07   0.161381E+01
   0.192414E-03   0.118663E+07   0.118663E+07   0.156819E+07   0.156785E+07   0.120682E+07   0.118687E+07   0.118663E+07   0.119256E+07  -0.600960E+00   0.118457E+07   0.118457E+07   0.178334E+01
   0.212651E-03   0.118659E+07   0.118658E+07   0.156504E+07   0.156463E+07   0.120608E+07   0.118681E+07   0.118658E+07   0.119249E+07  -0.600924E+00   0.118452E+07   0.118452E+07   0.197062E+01
   0.235015E-03   0.118652E+07   0.118652E+07   0.156121E+07   0.156070E+07   0.120517E+07   0.118674E+07   0.118652E+07   0.119241E+07  -0.600879E+00   0.118446E+07   0.118446E+07   0.217750E+01
   0.259732E-03   0.118645E+07   0.118644E+07   0.155653E+07   0.155592E+07   0.120406E+07   0.118665E+07   0.118645E+07   0.119230E+07  -0.600825E+00   0.118438E+07   0.118438E+07   0.240602E+01
   0.287048E-03   0.118636E+07   0.118635E+07   0.155084E+07   0.155009E+07   0.120271E+07   0.118655E+07   0.118636E+07   0.119218E+07  -0.600758E+00   0.118428E+07   0.118428E+07   0.265839E+01
   0.317237E-03   0.118625E+07   0.118624E+07   0.154391E+07   0.154301E+07   0.120105E+07   0.118642E+07   0.118625E+07   0.119203E+07  -0.600677E+00   0.118417E+07   0.118417E+07   0.293707E+01
   0.350602E-03   0.118612E+07   0.118611E+07   0.153549E+07   0.153439E+07   0.119904E+07   0.118627E+07   0.118612E+07   0.119184E+07  -0.600579E+00   0.118403E+07   0.118402E+07   0.324475E+01
   0.387475E-03   0.118595E+07   0.118594E+07   0.152526E+07   0.152393E+07   0.119659E+07   0.118608E+07   0.118595E+07   0.119161E+07  -0.600458E+00   0.118385E+07   0.118385E+07   0.358437E+01
   0.428226E-03   0.118575E+07   0.118574E+07   0.151285E+07   0.151124E+07   0.119361E+07   0.118584E+07   0.118575E+07   0.119134E+07  -0.600311E+00   0.118364E+07   0.118364E+07   0.395913E+01
   0.473263E-03   0.118551E+07   0.118549E+07   0.149782E+07   0.149588E+07   0.118998E+07   0.118556E+07   0.118551E+07   0.119100E+07  -0.600132E+00   0.118338E+07   0.118338E+07   0.437255E+01
   0.523036E-03   0.118522E+07   0.118519E+07   0.147965E+07   0.147731E+07   0.118558E+07   0.118522E+07   0.118521E+07   0.119059E+07  -0.599915E+00   0.118307E+07   0.118307E+07   0.482842E+01
   0.578045E-03   0.118485E+07   0.118482E+07   0.145773E+07   0.145492E+07   0.118023E+07   0.118480E+07   0.118485E+07   0.119009E+07  -0.599650E+00   0.118269E+07   0.118268E+07   0.533088E+01
   0.638838E-03   0.118441E+07   0.118437E+07   0.143136E+07   0.142801E+07   0.117374E+07   0.118428E+07   0.118441E+07   0.118948E+07  -0.599328E+00   0.118222E+07   0.118222E+07   0.588433E+01
