#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.581041E-05   0.342575E+06   0.342575E+06   0.456765E+06   0.456765E+06   0.385916E+06   0.343202E+06   0.342575E+06   0.348792E+06  -0.603533E+00   0.341173E+06   0.341173E+06   0.157287E+00
   0.642149E-05   0.342575E+06   0.342575E+06   0.456765E+06   0.456765E+06   0.385916E+06   0.343202E+06   0.342575E+06   0.348792E+06  -0.603532E+00   0.341173E+06   0.341173E+06   0.173829E+00
   0.709685E-05   0.342575E+06   0.342575E+06   0.456765E+06   0.456765E+06   0.385916E+06   0.343202E+06   0.342575E+06   0.348792E+06  -0.603532E+00   0.341173E+06   0.341173E+06   0.192110E+00
   0.784323E-05   0.342575E+06   0.342575E+06   0.456765E+06   0.456764E+06   0.385916E+06   0.343202E+06   0.342575E+06   0.348792E+06  -0.603532E+00   0.341172E+06   0.341172E+06   0.212315E+00
   0.866811E-05   0.342575E+06   0.342575E+06   0.456764E+06   0.456764E+06   0.385916E+06   0.343202E+06   0.342575E+06   0.348792E+06  -0.603532E+00   0.341172E+06   0.341172E+06   0.234644E+00
   0.957974E-05   0.342575E+06   0.342575E+06   0.456764E+06   0.456764E+06   0.385915E+06   0.343202E+06   0.342575E+06   0.348792E+06  -0.603532E+00   0.341172E+06   0.341172E+06   0.259322E+00
   0.105873E-04   0.342575E+06   0.342575E+06   0.456763E+06   0.456763E+06   0.385915E+06   0.343202E+06   0.342575E+06   0.348792E+06  -0.603532E+00   0.341172E+06   0.341172E+06   0.286595E+00
   0.117007E-04   0.342575E+06   0.342575E+06   0.456762E+06   0.456762E+06   0.385914E+06   0.343202E+06   0.342575E+06   0.348792E+06  -0.603532E+00   0.341172E+06   0.341172E+06   0.316736E+00
   0.129313E-04   0.342575E+06   0.342575E+06   0.456762E+06   0.456761E+06   0.385914E+06   0.343202E+06   0.342575E+06   0.348792E+06  -0.603532E+00   0.341172E+06   0.341172E+06   0.350048E+00
   0.142913E-04   0.342575E+06   0.342574E+06   0.456761E+06   0.456760E+06   0.385913E+06   0.343202E+06   0.342574E+06   0.348792E+06  -0.603532E+00   0.341172E+06   0.341172E+06   0.386862E+00
   0.157943E-04   0.342574E+06   0.342574E+06   0.456759E+06   0.456759E+06   0.385912E+06   0.343202E+06   0.342574E+06   0.348792E+06  -0.603532E+00   0.341172E+06   0.341172E+06   0.427549E+00
   0.174554E-04   0.342574E+06   0.342574E+06   0.456758E+06   0.456757E+06   0.385911E+06   0.343202E+06   0.342574E+06   0.348792E+06  -0.603532E+00   0.341172E+06   0.341172E+06   0.472515E+00
   0.192912E-04   0.342574E+06   0.342574E+06   0.456756E+06   0.456755E+06   0.385910E+06   0.343202E+06   0.342574E+06   0.348792E+06  -0.603532E+00   0.341172E+06   0.341172E+06   0.522209E+00
   0.213201E-04   0.342574E+06   0.342574E+06   0.456753E+06   0.456752E+06   0.385908E+06   0.343202E+06   0.342574E+06   0.348791E+06  -0.603531E+00   0.341172E+06   0.341172E+06   0.577130E+00
   0.235624E-04   0.342574E+06   0.342574E+06   0.456751E+06   0.456749E+06   0.385907E+06   0.343201E+06   0.342574E+06   0.348791E+06  -0.603531E+00   0.341172E+06   0.341172E+06   0.637827E+00
   0.260404E-04   0.342574E+06   0.342574E+06   0.456747E+06   0.456746E+06   0.385904E+06   0.343201E+06   0.342574E+06   0.348791E+06  -0.603531E+00   0.341172E+06   0.341172E+06   0.704908E+00
   0.287791E-04   0.342574E+06   0.342574E+06   0.456743E+06   0.456741E+06   0.385901E+06   0.343201E+06   0.342574E+06   0.348791E+06  -0.603530E+00   0.341172E+06   0.341172E+06   0.779043E+00
   0.318059E-04   0.342574E+06   0.342574E+06   0.456738E+06   0.456736E+06   0.385898E+06   0.343201E+06   0.342574E+06   0.348790E+06  -0.603530E+00   0.341172E+06   0.341172E+06   0.860975E+00
   0.351509E-04   0.342574E+06   0.342573E+06   0.456731E+06   0.456729E+06   0.385894E+06   0.343201E+06   0.342574E+06   0.348790E+06  -0.603529E+00   0.341171E+06   0.341171E+06   0.951523E+00
   0.388478E-04   0.342573E+06   0.342573E+06   0.456724E+06   0.456720E+06   0.385888E+06   0.343200E+06   0.342573E+06   0.348790E+06  -0.603528E+00   0.341171E+06   0.341171E+06   0.105159E+01
   0.429334E-04   0.342573E+06   0.342573E+06   0.456714E+06   0.456710E+06   0.385882E+06   0.343200E+06   0.342573E+06   0.348789E+06  -0.603527E+00   0.341171E+06   0.341171E+06   0.116219E+01
   0.474488E-04   0.342573E+06   0.342572E+06   0.456703E+06   0.456698E+06   0.385874E+06   0.343199E+06   0.342572E+06   0.348788E+06  -0.603526E+00   0.341170E+06   0.341170E+06   0.128442E+01
   0.524390E-04   0.342572E+06   0.342572E+06   0.456689E+06   0.456683E+06   0.385865E+06   0.343199E+06   0.342572E+06   0.348788E+06  -0.603525E+00   0.341170E+06   0.341170E+06   0.141950E+01
   0.579541E-04   0.342571E+06   0.342571E+06   0.456671E+06   0.456664E+06   0.385853E+06   0.343198E+06   0.342571E+06   0.348787E+06  -0.603523E+00   0.341169E+06   0.341169E+06   0.156878E+01
   0.640491E-04   0.342571E+06   0.342570E+06   0.456650E+06   0.456641E+06   0.385839E+06   0.343197E+06   0.342571E+06   0.348786E+06  -0.603521E+00   0.341168E+06   0.341168E+06   0.173377E+01
   0.707853E-04   0.342570E+06   0.342569E+06   0.456625E+06   0.456614E+06   0.385822E+06   0.343196E+06   0.342570E+06   0.348784E+06  -0.603518E+00   0.341167E+06   0.341167E+06   0.191610E+01
   0.782298E-04   0.342569E+06   0.342568E+06   0.456594E+06   0.456580E+06   0.385801E+06   0.343194E+06   0.342569E+06   0.348782E+06  -0.603515E+00   0.341166E+06   0.341166E+06   0.211761E+01
   0.864573E-04   0.342567E+06   0.342567E+06   0.456555E+06   0.456539E+06   0.385776E+06   0.343193E+06   0.342567E+06   0.348780E+06  -0.603511E+00   0.341165E+06   0.341165E+06   0.234030E+01
