#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.581041E-05   0.825455E+07   0.825455E+07   0.110054E+08   0.110054E+08   0.825840E+07   0.825459E+07   0.825455E+07   0.826030E+07  -0.591776E+00   0.791495E+07   0.791495E+07   0.924938E-02
   0.642149E-05   0.825455E+07   0.825455E+07   0.110052E+08   0.110052E+08   0.825840E+07   0.825459E+07   0.825455E+07   0.826030E+07  -0.591776E+00   0.791495E+07   0.791495E+07   0.102221E-01
   0.709685E-05   0.825455E+07   0.825455E+07   0.110050E+08   0.110050E+08   0.825840E+07   0.825459E+07   0.825455E+07   0.826030E+07  -0.591776E+00   0.791495E+07   0.791495E+07   0.112972E-01
   0.784323E-05   0.825454E+07   0.825454E+07   0.110048E+08   0.110048E+08   0.825839E+07   0.825459E+07   0.825454E+07   0.826030E+07  -0.591775E+00   0.791495E+07   0.791495E+07   0.124853E-01
   0.866811E-05   0.825454E+07   0.825454E+07   0.110045E+08   0.110045E+08   0.825839E+07   0.825459E+07   0.825454E+07   0.826030E+07  -0.591775E+00   0.791495E+07   0.791495E+07   0.137984E-01
   0.957974E-05   0.825454E+07   0.825454E+07   0.110042E+08   0.110042E+08   0.825838E+07   0.825459E+07   0.825454E+07   0.826029E+07  -0.591775E+00   0.791495E+07   0.791495E+07   0.152496E-01
   0.105873E-04   0.825454E+07   0.825454E+07   0.110038E+08   0.110038E+08   0.825837E+07   0.825458E+07   0.825454E+07   0.826029E+07  -0.591775E+00   0.791495E+07   0.791495E+07   0.168533E-01
   0.117007E-04   0.825454E+07   0.825454E+07   0.110033E+08   0.110033E+08   0.825836E+07   0.825458E+07   0.825454E+07   0.826029E+07  -0.591775E+00   0.791495E+07   0.791495E+07   0.186258E-01
   0.129313E-04   0.825454E+07   0.825454E+07   0.110027E+08   0.110027E+08   0.825835E+07   0.825458E+07   0.825454E+07   0.826029E+07  -0.591775E+00   0.791494E+07   0.791494E+07   0.205846E-01
   0.142913E-04   0.825453E+07   0.825453E+07   0.110019E+08   0.110019E+08   0.825834E+07   0.825458E+07   0.825453E+07   0.826028E+07  -0.591775E+00   0.791494E+07   0.791494E+07   0.227494E-01
   0.157943E-04   0.825453E+07   0.825453E+07   0.110010E+08   0.110010E+08   0.825832E+07   0.825457E+07   0.825453E+07   0.826028E+07  -0.591774E+00   0.791494E+07   0.791494E+07   0.251419E-01
   0.174554E-04   0.825453E+07   0.825453E+07   0.109999E+08   0.109999E+08   0.825830E+07   0.825457E+07   0.825453E+07   0.826028E+07  -0.591774E+00   0.791494E+07   0.791494E+07   0.277859E-01
   0.192912E-04   0.825452E+07   0.825452E+07   0.109985E+08   0.109985E+08   0.825827E+07   0.825456E+07   0.825452E+07   0.826027E+07  -0.591773E+00   0.791493E+07   0.791493E+07   0.307079E-01
   0.213201E-04   0.825452E+07   0.825452E+07   0.109969E+08   0.109968E+08   0.825824E+07   0.825456E+07   0.825452E+07   0.826026E+07  -0.591773E+00   0.791492E+07   0.791492E+07   0.339372E-01
   0.235624E-04   0.825451E+07   0.825451E+07   0.109948E+08   0.109948E+08   0.825819E+07   0.825455E+07   0.825451E+07   0.826026E+07  -0.591772E+00   0.791492E+07   0.791492E+07   0.375060E-01
   0.260404E-04   0.825450E+07   0.825450E+07   0.109924E+08   0.109923E+08   0.825814E+07   0.825454E+07   0.825450E+07   0.826024E+07  -0.591771E+00   0.791491E+07   0.791491E+07   0.414500E-01
   0.287791E-04   0.825449E+07   0.825449E+07   0.109893E+08   0.109893E+08   0.825808E+07   0.825453E+07   0.825449E+07   0.826023E+07  -0.591771E+00   0.791490E+07   0.791490E+07   0.458086E-01
   0.318059E-04   0.825448E+07   0.825448E+07   0.109856E+08   0.109856E+08   0.825801E+07   0.825452E+07   0.825448E+07   0.826022E+07  -0.591769E+00   0.791488E+07   0.791488E+07   0.506253E-01
   0.351509E-04   0.825446E+07   0.825446E+07   0.109811E+08   0.109810E+08   0.825792E+07   0.825450E+07   0.825446E+07   0.826020E+07  -0.591768E+00   0.791487E+07   0.791487E+07   0.559483E-01
   0.388478E-04   0.825444E+07   0.825444E+07   0.109756E+08   0.109755E+08   0.825781E+07   0.825448E+07   0.825444E+07   0.826017E+07  -0.591766E+00   0.791485E+07   0.791485E+07   0.618306E-01
   0.429334E-04   0.825442E+07   0.825442E+07   0.109689E+08   0.109687E+08   0.825767E+07   0.825445E+07   0.825442E+07   0.826014E+07  -0.591764E+00   0.791483E+07   0.791483E+07   0.683310E-01
   0.474488E-04   0.825439E+07   0.825439E+07   0.109607E+08   0.109605E+08   0.825751E+07   0.825442E+07   0.825439E+07   0.826011E+07  -0.591761E+00   0.791480E+07   0.791480E+07   0.755141E-01
   0.524390E-04   0.825435E+07   0.825435E+07   0.109506E+08   0.109504E+08   0.825730E+07   0.825438E+07   0.825435E+07   0.826006E+07  -0.591758E+00   0.791476E+07   0.791476E+07   0.834515E-01
   0.579541E-04   0.825431E+07   0.825431E+07   0.109384E+08   0.109381E+08   0.825706E+07   0.825434E+07   0.825431E+07   0.826001E+07  -0.591754E+00   0.791472E+07   0.791472E+07   0.922222E-01
   0.640491E-04   0.825425E+07   0.825425E+07   0.109234E+08   0.109231E+08   0.825676E+07   0.825428E+07   0.825425E+07   0.825995E+07  -0.591749E+00   0.791466E+07   0.791466E+07   0.101913E+00
   0.707853E-04   0.825419E+07   0.825419E+07   0.109052E+08   0.109049E+08   0.825639E+07   0.825421E+07   0.825419E+07   0.825987E+07  -0.591744E+00   0.791460E+07   0.791460E+07   0.112621E+00
   0.782298E-04   0.825411E+07   0.825411E+07   0.108830E+08   0.108826E+08   0.825594E+07   0.825413E+07   0.825411E+07   0.825977E+07  -0.591736E+00   0.791452E+07   0.791452E+07   0.124450E+00
   0.864573E-04   0.825401E+07   0.825401E+07   0.108560E+08   0.108554E+08   0.825539E+07   0.825402E+07   0.825401E+07   0.825966E+07  -0.591728E+00   0.791442E+07   0.791442E+07   0.137519E+00
   0.955501E-04   0.825389E+07   0.825389E+07   0.108230E+08   0.108223E+08   0.825472E+07   0.825390E+07   0.825389E+07   0.825951E+07  -0.591717E+00   0.791431E+07   0.791431E+07   0.151955E+00
   0.105599E-03   0.825374E+07   0.825374E+07   0.107828E+08   0.107820E+08   0.825391E+07   0.825374E+07   0.825374E+07   0.825934E+07  -0.591704E+00   0.791416E+07   0.791416E+07   0.167900E+00
   0.116705E-03   0.825356E+07   0.825356E+07   0.107340E+08   0.107330E+08   0.825291E+07   0.825356E+07   0.825356E+07   0.825913E+07  -0.591688E+00   0.791399E+07   0.791399E+07   0.185510E+00
   0.128979E-03   0.825335E+07   0.825334E+07   0.106746E+08   0.106734E+08   0.825169E+07   0.825333E+07   0.825335E+07   0.825887E+07  -0.591669E+00   0.791377E+07   0.791377E+07   0.204954E+00
   0.142544E-03   0.825308E+07   0.825308E+07   0.106025E+08   0.106011E+08   0.825020E+07   0.825305E+07   0.825308E+07   0.825855E+07  -0.591646E+00   0.791351E+07   0.791351E+07   0.226421E+00
   0.157535E-03   0.825276E+07   0.825275E+07   0.105151E+08   0.105134E+08   0.824839E+07   0.825271E+07   0.825276E+07   0.825816E+07  -0.591617E+00   0.791319E+07   0.791319E+07   0.250115E+00
   0.174104E-03   0.825236E+07   0.825236E+07   0.104092E+08   0.104071E+08   0.824618E+07   0.825229E+07   0.825236E+07   0.825769E+07  -0.591582E+00   0.791280E+07   0.791280E+07   0.276259E+00
