#           k/h    P           
    0.58104E-05    0.99660E-01
    0.64215E-05    0.10973E+00
    0.70968E-05    0.12081E+00
    0.78432E-05    0.13302E+00
    0.86681E-05    0.14646E+00
    0.95797E-05    0.16125E+00
    0.10587E-04    0.17754E+00
    0.11701E-04    0.19548E+00
    0.12931E-04    0.21522E+00
    0.14291E-04    0.23697E+00
    0.15794E-04    0.26091E+00
    0.17455E-04    0.28726E+00
    0.19291E-04    0.31628E+00
    0.21320E-04    0.34824E+00
    0.23562E-04    0.38341E+00
    0.26040E-04    0.42215E+00
    0.28779E-04    0.46479E+00
    0.31806E-04    0.51175E+00
    0.35151E-04    0.56344E+00
    0.38848E-04    0.62036E+00
    0.42933E-04    0.68303E+00
    0.47449E-04    0.75203E+00
    0.52439E-04    0.82800E+00
    0.57954E-04    0.91164E+00
    0.64049E-04    0.10037E+01
    0.70785E-04    0.11051E+01
    0.78230E-04    0.12167E+01
    0.86457E-04    0.13396E+01
    0.95550E-04    0.14749E+01
    0.10560E-03    0.16239E+01
    0.11671E-03    0.17879E+01
    0.12898E-03    0.19685E+01
    0.14254E-03    0.21672E+01
    0.15754E-03    0.23860E+01
    0.17410E-03    0.26269E+01
    0.19241E-03    0.28921E+01
    0.21265E-03    0.31839E+01
    0.23502E-03    0.35051E+01
    0.25973E-03    0.38587E+01
    0.28705E-03    0.42478E+01
    0.31724E-03    0.46759E+01
    0.35060E-03    0.51469E+01
    0.38747E-03    0.56650E+01
    0.42823E-03    0.62349E+01
    0.47326E-03    0.68615E+01
    0.52304E-03    0.75503E+01
    0.57804E-03    0.83071E+01
    0.63884E-03    0.91385E+01
    0.70603E-03    0.10051E+02
    0.78028E-03    0.11052E+02
    0.86234E-03    0.12150E+02
    0.95303E-03    0.13352E+02
    0.10533E-02    0.14668E+02
    0.11640E-02    0.16105E+02
    0.12865E-02    0.17673E+02
    0.14218E-02    0.19381E+02
    0.15713E-02    0.21237E+02
    0.17365E-02    0.23249E+02
    0.19192E-02    0.25424E+02
    0.21210E-02    0.27768E+02
    0.23441E-02    0.30284E+02
    0.25906E-02    0.32976E+02
    0.28631E-02    0.35842E+02
    0.31642E-02    0.38881E+02
    0.34970E-02    0.42088E+02
    0.38647E-02    0.45455E+02
    0.42712E-02    0.48971E+02
    0.47204E-02    0.52618E+02
    0.52169E-02    0.56375E+02
    0.57655E-02    0.60208E+02
    0.63719E-02    0.64079E+02
    0.70420E-02    0.67938E+02
    0.77826E-02    0.71729E+02
    0.86011E-02    0.75387E+02
    0.95057E-02    0.78834E+02
    0.10505E-01    0.81980E+02
    0.11610E-01    0.84725E+02
    0.12831E-01    0.86965E+02
    0.14181E-01    0.88578E+02
    0.15672E-01    0.89443E+02
    0.17321E-01    0.89451E+02
    0.19142E-01    0.88496E+02
    0.21155E-01    0.86510E+02
    0.23380E-01    0.83472E+02
    0.25839E-01    0.79429E+02
    0.28557E-01    0.74514E+02
    0.31560E-01    0.68959E+02
    0.34879E-01    0.63085E+02
    0.38548E-01    0.57275E+02
    0.42602E-01    0.51910E+02
    0.47082E-01    0.47293E+02
    0.52034E-01    0.43556E+02
    0.57506E-01    0.40567E+02
    0.63554E-01    0.37903E+02
    0.70238E-01    0.34932E+02
    0.77625E-01    0.31135E+02
    0.85789E-01    0.26565E+02
    0.94812E-01    0.22026E+02
    0.10478E+00    0.18553E+02
    0.11580E+00    0.16493E+02
    0.12798E+00    0.15038E+02
    0.14144E+00    0.12974E+02
    0.15632E+00    0.10408E+02
    0.17276E+00    0.86204E+01
    0.19093E+00    0.76612E+01
    0.21101E+00    0.63894E+01
    0.23320E+00    0.51220E+01
    0.25773E+00    0.44054E+01
    0.28483E+00    0.35832E+01
    0.31479E+00    0.29565E+01
    0.34789E+00    0.24263E+01
    0.38448E+00    0.19835E+01
    0.42492E+00    0.16099E+01
    0.46961E+00    0.13107E+01
    0.51900E+00    0.10592E+01
    0.57358E+00    0.85391E+00
    0.63390E+00    0.68685E+00
    0.70057E+00    0.55097E+00
    0.77425E+00    0.44083E+00
    0.85568E+00    0.35183E+00
    0.94567E+00    0.28013E+00
    0.10451E+01    0.22255E+00
    0.11550E+01    0.17643E+00
    0.12765E+01    0.13958E+00
    0.14108E+01    0.11022E+00
    0.15591E+01    0.86872E-01
    0.17231E+01    0.68349E-01
    0.19043E+01    0.53683E-01
    0.21046E+01    0.42097E-01
    0.23260E+01    0.32960E-01
    0.25706E+01    0.25768E-01
    0.28410E+01    0.20117E-01
    0.31397E+01    0.15684E-01
    0.34700E+01    0.12212E-01
    0.38349E+01    0.94961E-02
    0.42382E+01    0.73756E-02
    0.46839E+01    0.57220E-02
    0.51766E+01    0.44342E-02
    0.57210E+01    0.34326E-02
    0.63227E+01    0.26545E-02
    0.69876E+01    0.20507E-02
    0.77225E+01    0.15828E-02
    0.85347E+01    0.12205E-02
    0.94323E+01    0.94030E-03
    0.10424E+02    0.72382E-03
    0.11521E+02    0.55671E-03
    0.12732E+02    0.42784E-03
    0.14071E+02    0.32855E-03
    0.15551E+02    0.25211E-03
    0.17187E+02    0.19332E-03
    0.18994E+02    0.14813E-03
    0.20992E+02    0.11343E-03
    0.23200E+02    0.86798E-04
    0.25640E+02    0.66377E-04
    0.28336E+02    0.50728E-04
    0.31316E+02    0.38744E-04
    0.34610E+02    0.29573E-04
    0.38250E+02    0.22559E-04
    0.42273E+02    0.17199E-04
    0.46718E+02    0.13104E-04
    0.51632E+02    0.99780E-05
