#           k/h    P           
    0.58104E-05    0.16415E+02
    0.64215E-05    0.18073E+02
    0.70968E-05    0.19899E+02
    0.78432E-05    0.21909E+02
    0.86681E-05    0.24122E+02
    0.95797E-05    0.26559E+02
    0.10587E-04    0.29242E+02
    0.11701E-04    0.32196E+02
    0.12931E-04    0.35449E+02
    0.14291E-04    0.39030E+02
    0.15794E-04    0.42973E+02
    0.17455E-04    0.47314E+02
    0.19291E-04    0.52094E+02
    0.21320E-04    0.57356E+02
    0.23562E-04    0.63151E+02
    0.26040E-04    0.69530E+02
    0.28779E-04    0.76554E+02
    0.31806E-04    0.84288E+02
    0.35151E-04    0.92802E+02
    0.38848E-04    0.10218E+03
    0.42933E-04    0.11250E+03
    0.47449E-04    0.12386E+03
    0.52439E-04    0.13637E+03
    0.57954E-04    0.15015E+03
    0.64049E-04    0.16531E+03
    0.70785E-04    0.18201E+03
    0.78230E-04    0.20039E+03
    0.86457E-04    0.22063E+03
    0.95550E-04    0.24291E+03
    0.10560E-03    0.26744E+03
    0.11671E-03    0.29445E+03
    0.12898E-03    0.32417E+03
    0.14254E-03    0.35689E+03
    0.15754E-03    0.39291E+03
    0.17410E-03    0.43256E+03
    0.19241E-03    0.47619E+03
    0.21265E-03    0.52421E+03
    0.23502E-03    0.57706E+03
    0.25973E-03    0.63520E+03
    0.28705E-03    0.69916E+03
    0.31724E-03    0.76951E+03
    0.35060E-03    0.84688E+03
    0.38747E-03    0.93194E+03
    0.42823E-03    0.10254E+04
    0.47326E-03    0.11281E+04
    0.52304E-03    0.12409E+04
    0.57804E-03    0.13648E+04
    0.63884E-03    0.15006E+04
    0.70603E-03    0.16495E+04
    0.78028E-03    0.18127E+04
    0.86234E-03    0.19912E+04
    0.95303E-03    0.21864E+04
    0.10533E-02    0.23996E+04
    0.11640E-02    0.26320E+04
    0.12865E-02    0.28851E+04
    0.14218E-02    0.31600E+04
    0.15713E-02    0.34582E+04
    0.17365E-02    0.37808E+04
    0.19192E-02    0.41290E+04
    0.21210E-02    0.45034E+04
    0.23441E-02    0.49049E+04
    0.25906E-02    0.53338E+04
    0.28631E-02    0.57903E+04
    0.31642E-02    0.62739E+04
    0.34970E-02    0.67838E+04
    0.38647E-02    0.73185E+04
    0.42712E-02    0.78759E+04
    0.47204E-02    0.84530E+04
    0.52169E-02    0.90457E+04
    0.57655E-02    0.96491E+04
    0.63719E-02    0.10257E+05
    0.70420E-02    0.10862E+05
    0.77826E-02    0.11454E+05
    0.86011E-02    0.12024E+05
    0.95057E-02    0.12559E+05
    0.10505E-01    0.13044E+05
    0.11610E-01    0.13465E+05
    0.12831E-01    0.13804E+05
    0.14181E-01    0.14043E+05
    0.15672E-01    0.14165E+05
    0.17321E-01    0.14150E+05
    0.19142E-01    0.13983E+05
    0.21155E-01    0.13655E+05
    0.23380E-01    0.13162E+05
    0.25839E-01    0.12512E+05
    0.28557E-01    0.11727E+05
    0.31560E-01    0.10844E+05
    0.34879E-01    0.99120E+04
    0.38548E-01    0.89922E+04
    0.42602E-01    0.81443E+04
    0.47082E-01    0.74153E+04
    0.52034E-01    0.68253E+04
    0.57506E-01    0.63537E+04
    0.63554E-01    0.59336E+04
    0.70238E-01    0.54661E+04
    0.77625E-01    0.48701E+04
    0.85789E-01    0.41538E+04
    0.94812E-01    0.34430E+04
    0.10478E+00    0.28993E+04
    0.11580E+00    0.25768E+04
    0.12798E+00    0.23491E+04
    0.14144E+00    0.20263E+04
    0.15632E+00    0.16253E+04
    0.17276E+00    0.13460E+04
    0.19093E+00    0.11961E+04
    0.21101E+00    0.99743E+03
    0.23320E+00    0.79950E+03
    0.25773E+00    0.68760E+03
    0.28483E+00    0.55923E+03
    0.31479E+00    0.46140E+03
    0.34789E+00    0.37865E+03
    0.38448E+00    0.30953E+03
    0.42492E+00    0.25123E+03
    0.46961E+00    0.20452E+03
    0.51900E+00    0.16527E+03
    0.57358E+00    0.13324E+03
    0.63390E+00    0.10717E+03
    0.70057E+00    0.85970E+02
    0.77425E+00    0.68784E+02
    0.85568E+00    0.54896E+02
    0.94567E+00    0.43709E+02
    0.10451E+01    0.34724E+02
    0.11550E+01    0.27528E+02
    0.12765E+01    0.21779E+02
    0.14108E+01    0.17197E+02
    0.15591E+01    0.13554E+02
    0.17231E+01    0.10664E+02
    0.19043E+01    0.83760E+01
    0.21046E+01    0.65682E+01
    0.23260E+01    0.51426E+01
    0.25706E+01    0.40205E+01
    0.28410E+01    0.31388E+01
    0.31397E+01    0.24471E+01
    0.34700E+01    0.19053E+01
    0.38349E+01    0.14816E+01
    0.42382E+01    0.11508E+01
    0.46839E+01    0.89277E+00
    0.51766E+01    0.69184E+00
    0.57210E+01    0.53556E+00
    0.63227E+01    0.41416E+00
    0.69876E+01    0.31996E+00
    0.77225E+01    0.24695E+00
    0.85347E+01    0.19042E+00
    0.94323E+01    0.14671E+00
    0.10424E+02    0.11293E+00
    0.11521E+02    0.86857E-01
    0.12732E+02    0.66751E-01
    0.14071E+02    0.51259E-01
    0.15551E+02    0.39333E-01
    0.17187E+02    0.30160E-01
    0.18994E+02    0.23110E-01
    0.20992E+02    0.17696E-01
    0.23200E+02    0.13541E-01
    0.25640E+02    0.10355E-01
    0.28336E+02    0.79130E-02
    0.31316E+02    0.60434E-02
    0.34610E+02    0.46126E-02
    0.38250E+02    0.35184E-02
    0.42273E+02    0.26821E-02
    0.46718E+02    0.20433E-02
    0.51632E+02    0.15557E-02
