#           k/h    P           
    0.58104E-05    0.27523E+01
    0.64215E-05    0.30303E+01
    0.70968E-05    0.33364E+01
    0.78432E-05    0.36735E+01
    0.86681E-05    0.40446E+01
    0.95797E-05    0.44532E+01
    0.10587E-04    0.49031E+01
    0.11701E-04    0.53984E+01
    0.12931E-04    0.59437E+01
    0.14291E-04    0.65442E+01
    0.15794E-04    0.72053E+01
    0.17455E-04    0.79332E+01
    0.19291E-04    0.87346E+01
    0.21320E-04    0.96170E+01
    0.23562E-04    0.10589E+02
    0.26040E-04    0.11658E+02
    0.28779E-04    0.12836E+02
    0.31806E-04    0.14133E+02
    0.35151E-04    0.15560E+02
    0.38848E-04    0.17132E+02
    0.42933E-04    0.18863E+02
    0.47449E-04    0.20768E+02
    0.52439E-04    0.22866E+02
    0.57954E-04    0.25176E+02
    0.64049E-04    0.27719E+02
    0.70785E-04    0.30519E+02
    0.78230E-04    0.33601E+02
    0.86457E-04    0.36995E+02
    0.95550E-04    0.40731E+02
    0.10560E-03    0.44844E+02
    0.11671E-03    0.49372E+02
    0.12898E-03    0.54357E+02
    0.14254E-03    0.59844E+02
    0.15754E-03    0.65885E+02
    0.17410E-03    0.72534E+02
    0.19241E-03    0.79852E+02
    0.21265E-03    0.87906E+02
    0.23502E-03    0.96770E+02
    0.25973E-03    0.10652E+03
    0.28705E-03    0.11725E+03
    0.31724E-03    0.12906E+03
    0.35060E-03    0.14204E+03
    0.38747E-03    0.15632E+03
    0.42823E-03    0.17201E+03
    0.47326E-03    0.18926E+03
    0.52304E-03    0.20820E+03
    0.57804E-03    0.22901E+03
    0.63884E-03    0.25183E+03
    0.70603E-03    0.27686E+03
    0.78028E-03    0.30429E+03
    0.86234E-03    0.33431E+03
    0.95303E-03    0.36714E+03
    0.10533E-02    0.40299E+03
    0.11640E-02    0.44209E+03
    0.12865E-02    0.48466E+03
    0.14218E-02    0.53092E+03
    0.15713E-02    0.58108E+03
    0.17365E-02    0.63536E+03
    0.19192E-02    0.69394E+03
    0.21210E-02    0.75695E+03
    0.23441E-02    0.82453E+03
    0.25906E-02    0.89674E+03
    0.28631E-02    0.97361E+03
    0.31642E-02    0.10551E+04
    0.34970E-02    0.11410E+04
    0.38647E-02    0.12312E+04
    0.42712E-02    0.13252E+04
    0.47204E-02    0.14226E+04
    0.52169E-02    0.15227E+04
    0.57655E-02    0.16246E+04
    0.63719E-02    0.17274E+04
    0.70420E-02    0.18298E+04
    0.77826E-02    0.19302E+04
    0.86011E-02    0.20268E+04
    0.95057E-02    0.21176E+04
    0.10505E-01    0.22003E+04
    0.11610E-01    0.22721E+04
    0.12831E-01    0.23303E+04
    0.14181E-01    0.23716E+04
    0.15672E-01    0.23930E+04
    0.17321E-01    0.23914E+04
    0.19142E-01    0.23643E+04
    0.21155E-01    0.23097E+04
    0.23380E-01    0.22273E+04
    0.25839E-01    0.21182E+04
    0.28557E-01    0.19860E+04
    0.31560E-01    0.18371E+04
    0.34879E-01    0.16799E+04
    0.38548E-01    0.15245E+04
    0.42602E-01    0.13812E+04
    0.47082E-01    0.12579E+04
    0.52034E-01    0.11582E+04
    0.57506E-01    0.10785E+04
    0.63554E-01    0.10074E+04
    0.70238E-01    0.92823E+03
    0.77625E-01    0.82718E+03
    0.85789E-01    0.70565E+03
    0.94812E-01    0.58500E+03
    0.10478E+00    0.49269E+03
    0.11580E+00    0.43795E+03
    0.12798E+00    0.39930E+03
    0.14144E+00    0.34446E+03
    0.15632E+00    0.27631E+03
    0.17276E+00    0.22884E+03
    0.19093E+00    0.20337E+03
    0.21101E+00    0.16960E+03
    0.23320E+00    0.13596E+03
    0.25773E+00    0.11693E+03
    0.28483E+00    0.95105E+02
    0.31479E+00    0.78470E+02
    0.34789E+00    0.64398E+02
    0.38448E+00    0.52645E+02
    0.42492E+00    0.42729E+02
    0.46961E+00    0.34786E+02
    0.51900E+00    0.28111E+02
    0.57358E+00    0.22663E+02
    0.63390E+00    0.18229E+02
    0.70057E+00    0.14623E+02
    0.77425E+00    0.11700E+02
    0.85568E+00    0.93373E+01
    0.94567E+00    0.74345E+01
    0.10451E+01    0.59064E+01
    0.11550E+01    0.46823E+01
    0.12765E+01    0.37045E+01
    0.14108E+01    0.29251E+01
    0.15591E+01    0.23055E+01
    0.17231E+01    0.18139E+01
    0.19043E+01    0.14247E+01
    0.21046E+01    0.11172E+01
    0.23260E+01    0.87474E+00
    0.25706E+01    0.68387E+00
    0.28410E+01    0.53389E+00
    0.31397E+01    0.41624E+00
    0.34700E+01    0.32408E+00
    0.38349E+01    0.25202E+00
    0.42382E+01    0.19574E+00
    0.46839E+01    0.15186E+00
    0.51766E+01    0.11768E+00
    0.57210E+01    0.91098E-01
    0.63227E+01    0.70447E-01
    0.69876E+01    0.54424E-01
    0.77225E+01    0.42005E-01
    0.85347E+01    0.32391E-01
    0.94323E+01    0.24954E-01
    0.10424E+02    0.19209E-01
    0.11521E+02    0.14774E-01
    0.12732E+02    0.11354E-01
    0.14071E+02    0.87190E-02
    0.15551E+02    0.66905E-02
    0.17187E+02    0.51302E-02
    0.18994E+02    0.39310E-02
    0.20992E+02    0.30100E-02
    0.23200E+02    0.23033E-02
    0.25640E+02    0.17613E-02
    0.28336E+02    0.13460E-02
    0.31316E+02    0.10280E-02
    0.34610E+02    0.78462E-03
    0.38250E+02    0.59850E-03
    0.42273E+02    0.45624E-03
    0.46718E+02    0.34759E-03
    0.51632E+02    0.26464E-03
