#           k/h    P           
    0.58104E-05    0.11390E-01
    0.64215E-05    0.12541E-01
    0.70968E-05    0.13808E-01
    0.78432E-05    0.15202E-01
    0.86681E-05    0.16738E-01
    0.95797E-05    0.18429E-01
    0.10587E-04    0.20291E-01
    0.11701E-04    0.22341E-01
    0.12931E-04    0.24598E-01
    0.14291E-04    0.27083E-01
    0.15794E-04    0.29819E-01
    0.17455E-04    0.32831E-01
    0.19291E-04    0.36148E-01
    0.21320E-04    0.39799E-01
    0.23562E-04    0.43820E-01
    0.26040E-04    0.48247E-01
    0.28779E-04    0.53121E-01
    0.31806E-04    0.58487E-01
    0.35151E-04    0.64396E-01
    0.38848E-04    0.70901E-01
    0.42933E-04    0.78064E-01
    0.47449E-04    0.85949E-01
    0.52439E-04    0.94632E-01
    0.57954E-04    0.10419E+00
    0.64049E-04    0.11472E+00
    0.70785E-04    0.12630E+00
    0.78230E-04    0.13906E+00
    0.86457E-04    0.15311E+00
    0.95550E-04    0.16858E+00
    0.10560E-03    0.18560E+00
    0.11671E-03    0.20435E+00
    0.12898E-03    0.22499E+00
    0.14254E-03    0.24771E+00
    0.15754E-03    0.27272E+00
    0.17410E-03    0.30026E+00
    0.19241E-03    0.33058E+00
    0.21265E-03    0.36395E+00
    0.23502E-03    0.40069E+00
    0.25973E-03    0.44112E+00
    0.28705E-03    0.48563E+00
    0.31724E-03    0.53461E+00
    0.35060E-03    0.58852E+00
    0.38747E-03    0.64784E+00
    0.42823E-03    0.71310E+00
    0.47326E-03    0.78489E+00
    0.52304E-03    0.86384E+00
    0.57804E-03    0.95066E+00
    0.63884E-03    0.10461E+01
    0.70603E-03    0.11510E+01
    0.78028E-03    0.12662E+01
    0.86234E-03    0.13926E+01
    0.95303E-03    0.15313E+01
    0.10533E-02    0.16834E+01
    0.11640E-02    0.18500E+01
    0.12865E-02    0.20322E+01
    0.14218E-02    0.22313E+01
    0.15713E-02    0.24485E+01
    0.17365E-02    0.26849E+01
    0.19192E-02    0.29417E+01
    0.21210E-02    0.32198E+01
    0.23441E-02    0.35201E+01
    0.25906E-02    0.38430E+01
    0.28631E-02    0.41888E+01
    0.31642E-02    0.45572E+01
    0.34970E-02    0.49475E+01
    0.38647E-02    0.53585E+01
    0.42712E-02    0.57883E+01
    0.47204E-02    0.62344E+01
    0.52169E-02    0.66940E+01
    0.57655E-02    0.71632E+01
    0.63719E-02    0.76378E+01
    0.70420E-02    0.81124E+01
    0.77826E-02    0.85800E+01
    0.86011E-02    0.90320E+01
    0.95057E-02    0.94581E+01
    0.10505E-01    0.98467E+01
    0.11610E-01    0.10186E+02
    0.12831E-01    0.10464E+02
    0.14181E-01    0.10667E+02
    0.15672E-01    0.10779E+02
    0.17321E-01    0.10786E+02
    0.19142E-01    0.10677E+02
    0.21155E-01    0.10442E+02
    0.23380E-01    0.10079E+02
    0.25839E-01    0.95948E+01
    0.28557E-01    0.90040E+01
    0.31560E-01    0.83354E+01
    0.34879E-01    0.76273E+01
    0.38548E-01    0.69263E+01
    0.42602E-01    0.62787E+01
    0.47082E-01    0.57210E+01
    0.52034E-01    0.52694E+01
    0.57506E-01    0.49083E+01
    0.63554E-01    0.45862E+01
    0.70238E-01    0.42269E+01
    0.77625E-01    0.37677E+01
    0.85789E-01    0.32150E+01
    0.94812E-01    0.26659E+01
    0.10478E+00    0.22457E+01
    0.11580E+00    0.19963E+01
    0.12798E+00    0.18202E+01
    0.14144E+00    0.15704E+01
    0.15632E+00    0.12599E+01
    0.17276E+00    0.10435E+01
    0.19093E+00    0.92737E+00
    0.21101E+00    0.77346E+00
    0.23320E+00    0.62005E+00
    0.25773E+00    0.53328E+00
    0.28483E+00    0.43377E+00
    0.31479E+00    0.35790E+00
    0.34789E+00    0.29372E+00
    0.38448E+00    0.24012E+00
    0.42492E+00    0.19490E+00
    0.46961E+00    0.15867E+00
    0.51900E+00    0.12822E+00
    0.57358E+00    0.10337E+00
    0.63390E+00    0.83150E-01
    0.70057E+00    0.66700E-01
    0.77425E+00    0.53367E-01
    0.85568E+00    0.42592E-01
    0.94567E+00    0.33912E-01
    0.10451E+01    0.26942E-01
    0.11550E+01    0.21358E-01
    0.12765E+01    0.16898E-01
    0.14108E+01    0.13343E-01
    0.15591E+01    0.10517E-01
    0.17231E+01    0.82743E-02
    0.19043E+01    0.64989E-02
    0.21046E+01    0.50963E-02
    0.23260E+01    0.39902E-02
    0.25706E+01    0.31195E-02
    0.28410E+01    0.24354E-02
    0.31397E+01    0.18987E-02
    0.34700E+01    0.14783E-02
    0.38349E+01    0.11496E-02
    0.42382E+01    0.89290E-03
    0.46839E+01    0.69272E-03
    0.51766E+01    0.53682E-03
    0.57210E+01    0.41556E-03
    0.63227E+01    0.32136E-03
    0.69876E+01    0.24827E-03
    0.77225E+01    0.19162E-03
    0.85347E+01    0.14776E-03
    0.94323E+01    0.11384E-03
    0.10424E+02    0.87629E-04
    0.11521E+02    0.67399E-04
    0.12732E+02    0.51798E-04
    0.14071E+02    0.39778E-04
    0.15551E+02    0.30524E-04
    0.17187E+02    0.23406E-04
    0.18994E+02    0.17935E-04
    0.20992E+02    0.13734E-04
    0.23200E+02    0.10510E-04
    0.25640E+02    0.80377E-05
    0.28336E+02    0.61430E-05
    0.31316E+02    0.46921E-05
    0.34610E+02    0.35818E-05
    0.38250E+02    0.27326E-05
    0.42273E+02    0.20835E-05
    0.46718E+02    0.15877E-05
    0.51632E+02    0.12092E-05
