#           k/h    P           
    0.58104E-05    0.40872E-02
    0.64215E-05    0.45001E-02
    0.70968E-05    0.49547E-02
    0.78432E-05    0.54552E-02
    0.86681E-05    0.60063E-02
    0.95797E-05    0.66131E-02
    0.10587E-04    0.72812E-02
    0.11701E-04    0.80167E-02
    0.12931E-04    0.88266E-02
    0.14291E-04    0.97183E-02
    0.15794E-04    0.10700E-01
    0.17455E-04    0.11781E-01
    0.19291E-04    0.12971E-01
    0.21320E-04    0.14282E-01
    0.23562E-04    0.15724E-01
    0.26040E-04    0.17313E-01
    0.28779E-04    0.19062E-01
    0.31806E-04    0.20987E-01
    0.35151E-04    0.23108E-01
    0.38848E-04    0.25442E-01
    0.42933E-04    0.28012E-01
    0.47449E-04    0.30842E-01
    0.52439E-04    0.33958E-01
    0.57954E-04    0.37388E-01
    0.64049E-04    0.41165E-01
    0.70785E-04    0.45323E-01
    0.78230E-04    0.49902E-01
    0.86457E-04    0.54942E-01
    0.95550E-04    0.60492E-01
    0.10560E-03    0.66603E-01
    0.11671E-03    0.73330E-01
    0.12898E-03    0.80736E-01
    0.14254E-03    0.88891E-01
    0.15754E-03    0.97868E-01
    0.17410E-03    0.10775E+00
    0.19241E-03    0.11863E+00
    0.21265E-03    0.13061E+00
    0.23502E-03    0.14380E+00
    0.25973E-03    0.15831E+00
    0.28705E-03    0.17429E+00
    0.31724E-03    0.19187E+00
    0.35060E-03    0.21123E+00
    0.38747E-03    0.23253E+00
    0.42823E-03    0.25597E+00
    0.47326E-03    0.28175E+00
    0.52304E-03    0.31012E+00
    0.57804E-03    0.34133E+00
    0.63884E-03    0.37564E+00
    0.70603E-03    0.41336E+00
    0.78028E-03    0.45481E+00
    0.86234E-03    0.50035E+00
    0.95303E-03    0.55034E+00
    0.10533E-02    0.60520E+00
    0.11640E-02    0.66535E+00
    0.12865E-02    0.73125E+00
    0.14218E-02    0.80335E+00
    0.15713E-02    0.88215E+00
    0.17365E-02    0.96812E+00
    0.19192E-02    0.10617E+01
    0.21210E-02    0.11635E+01
    0.23441E-02    0.12737E+01
    0.25906E-02    0.13927E+01
    0.28631E-02    0.15207E+01
    0.31642E-02    0.16577E+01
    0.34970E-02    0.18037E+01
    0.38647E-02    0.19582E+01
    0.42712E-02    0.21205E+01
    0.47204E-02    0.22898E+01
    0.52169E-02    0.24647E+01
    0.57655E-02    0.26437E+01
    0.63719E-02    0.28250E+01
    0.70420E-02    0.30063E+01
    0.77826E-02    0.31853E+01
    0.86011E-02    0.33590E+01
    0.95057E-02    0.35237E+01
    0.10505E-01    0.36750E+01
    0.11610E-01    0.38077E+01
    0.12831E-01    0.39161E+01
    0.14181E-01    0.39950E+01
    0.15672E-01    0.40397E+01
    0.17321E-01    0.40456E+01
    0.19142E-01    0.40076E+01
    0.21155E-01    0.39216E+01
    0.23380E-01    0.37870E+01
    0.25839E-01    0.36066E+01
    0.28557E-01    0.33858E+01
    0.31560E-01    0.31352E+01
    0.34879E-01    0.28698E+01
    0.38548E-01    0.26066E+01
    0.42602E-01    0.23634E+01
    0.47082E-01    0.21537E+01
    0.52034E-01    0.19838E+01
    0.57506E-01    0.18479E+01
    0.63554E-01    0.17266E+01
    0.70238E-01    0.15914E+01
    0.77625E-01    0.14187E+01
    0.85789E-01    0.12108E+01
    0.94812E-01    0.10042E+01
    0.10478E+00    0.84590E+00
    0.11580E+00    0.75186E+00
    0.12798E+00    0.68546E+00
    0.14144E+00    0.59144E+00
    0.15632E+00    0.47459E+00
    0.17276E+00    0.39308E+00
    0.19093E+00    0.34928E+00
    0.21101E+00    0.29133E+00
    0.23320E+00    0.23357E+00
    0.25773E+00    0.20086E+00
    0.28483E+00    0.16339E+00
    0.31479E+00    0.13481E+00
    0.34789E+00    0.11064E+00
    0.38448E+00    0.90448E-01
    0.42492E+00    0.73414E-01
    0.46961E+00    0.59767E-01
    0.51900E+00    0.48299E-01
    0.57358E+00    0.38939E-01
    0.63390E+00    0.31321E-01
    0.70057E+00    0.25125E-01
    0.77425E+00    0.20103E-01
    0.85568E+00    0.16044E-01
    0.94567E+00    0.12774E-01
    0.10451E+01    0.10149E-01
    0.11550E+01    0.80455E-02
    0.12765E+01    0.63653E-02
    0.14108E+01    0.50262E-02
    0.15591E+01    0.39615E-02
    0.17231E+01    0.31168E-02
    0.19043E+01    0.24481E-02
    0.21046E+01    0.19197E-02
    0.23260E+01    0.15031E-02
    0.25706E+01    0.11751E-02
    0.28410E+01    0.91739E-03
    0.31397E+01    0.71522E-03
    0.34700E+01    0.55688E-03
    0.38349E+01    0.43305E-03
    0.42382E+01    0.33635E-03
    0.46839E+01    0.26094E-03
    0.51766E+01    0.20222E-03
    0.57210E+01    0.15654E-03
    0.63227E+01    0.12105E-03
    0.69876E+01    0.93521E-04
    0.77225E+01    0.72182E-04
    0.85347E+01    0.55660E-04
    0.94323E+01    0.42883E-04
    0.10424E+02    0.33010E-04
    0.11521E+02    0.25390E-04
    0.12732E+02    0.19513E-04
    0.14071E+02    0.14985E-04
    0.15551E+02    0.11499E-04
    0.17187E+02    0.88175E-05
    0.18994E+02    0.67567E-05
    0.20992E+02    0.51741E-05
    0.23200E+02    0.39596E-05
    0.25640E+02    0.30282E-05
    0.28336E+02    0.23145E-05
    0.31316E+02    0.17679E-05
    0.34610E+02    0.13496E-05
    0.38250E+02    0.10297E-05
    0.42273E+02    0.78518E-06
    0.46718E+02    0.59839E-06
    0.51632E+02    0.45579E-06
