#           k/h    P           
    0.58104E-05    0.49770E-02
    0.64215E-05    0.54798E-02
    0.70968E-05    0.60334E-02
    0.78432E-05    0.66429E-02
    0.86681E-05    0.73140E-02
    0.95797E-05    0.80529E-02
    0.10587E-04    0.88664E-02
    0.11701E-04    0.97621E-02
    0.12931E-04    0.10748E-01
    0.14291E-04    0.11834E-01
    0.15794E-04    0.13030E-01
    0.17455E-04    0.14346E-01
    0.19291E-04    0.15795E-01
    0.21320E-04    0.17391E-01
    0.23562E-04    0.19148E-01
    0.26040E-04    0.21082E-01
    0.28779E-04    0.23212E-01
    0.31806E-04    0.25557E-01
    0.35151E-04    0.28139E-01
    0.38848E-04    0.30981E-01
    0.42933E-04    0.34111E-01
    0.47449E-04    0.37557E-01
    0.52439E-04    0.41351E-01
    0.57954E-04    0.45528E-01
    0.64049E-04    0.50127E-01
    0.70785E-04    0.55191E-01
    0.78230E-04    0.60766E-01
    0.86457E-04    0.66904E-01
    0.95550E-04    0.73662E-01
    0.10560E-03    0.81103E-01
    0.11671E-03    0.89295E-01
    0.12898E-03    0.98314E-01
    0.14254E-03    0.10824E+00
    0.15754E-03    0.11917E+00
    0.17410E-03    0.13121E+00
    0.19241E-03    0.14446E+00
    0.21265E-03    0.15904E+00
    0.23502E-03    0.17510E+00
    0.25973E-03    0.19277E+00
    0.28705E-03    0.21223E+00
    0.31724E-03    0.23364E+00
    0.35060E-03    0.25721E+00
    0.38747E-03    0.28314E+00
    0.42823E-03    0.31168E+00
    0.47326E-03    0.34307E+00
    0.52304E-03    0.37761E+00
    0.57804E-03    0.41560E+00
    0.63884E-03    0.45737E+00
    0.70603E-03    0.50328E+00
    0.78028E-03    0.55373E+00
    0.86234E-03    0.60914E+00
    0.95303E-03    0.66998E+00
    0.10533E-02    0.73672E+00
    0.11640E-02    0.80988E+00
    0.12865E-02    0.89000E+00
    0.14218E-02    0.97766E+00
    0.15713E-02    0.10734E+01
    0.17365E-02    0.11778E+01
    0.19192E-02    0.12915E+01
    0.21210E-02    0.14149E+01
    0.23441E-02    0.15486E+01
    0.25906E-02    0.16927E+01
    0.28631E-02    0.18477E+01
    0.31642E-02    0.20134E+01
    0.34970E-02    0.21897E+01
    0.38647E-02    0.23761E+01
    0.42712E-02    0.25717E+01
    0.47204E-02    0.27755E+01
    0.52169E-02    0.29858E+01
    0.57655E-02    0.32009E+01
    0.63719E-02    0.34186E+01
    0.70420E-02    0.36363E+01
    0.77826E-02    0.38511E+01
    0.86011E-02    0.40595E+01
    0.95057E-02    0.42569E+01
    0.10505E-01    0.44378E+01
    0.11610E-01    0.45960E+01
    0.12831E-01    0.47251E+01
    0.14181E-01    0.48191E+01
    0.15672E-01    0.48724E+01
    0.17321E-01    0.48788E+01
    0.19142E-01    0.48319E+01
    0.21155E-01    0.47273E+01
    0.23380E-01    0.45647E+01
    0.25839E-01    0.43468E+01
    0.28557E-01    0.40801E+01
    0.31560E-01    0.37780E+01
    0.34879E-01    0.34578E+01
    0.38548E-01    0.31406E+01
    0.42602E-01    0.28473E+01
    0.47082E-01    0.25947E+01
    0.52034E-01    0.23900E+01
    0.57506E-01    0.22262E+01
    0.63554E-01    0.20801E+01
    0.70238E-01    0.19172E+01
    0.77625E-01    0.17090E+01
    0.85789E-01    0.14585E+01
    0.94812E-01    0.12096E+01
    0.10478E+00    0.10189E+01
    0.11580E+00    0.90569E+00
    0.12798E+00    0.82573E+00
    0.14144E+00    0.71246E+00
    0.15632E+00    0.57167E+00
    0.17276E+00    0.47349E+00
    0.19093E+00    0.42074E+00
    0.21101E+00    0.35093E+00
    0.23320E+00    0.28134E+00
    0.25773E+00    0.24195E+00
    0.28483E+00    0.19681E+00
    0.31479E+00    0.16239E+00
    0.34789E+00    0.13327E+00
    0.38448E+00    0.10895E+00
    0.42492E+00    0.88431E-01
    0.46961E+00    0.71992E-01
    0.51900E+00    0.58178E-01
    0.57358E+00    0.46904E-01
    0.63390E+00    0.37728E-01
    0.70057E+00    0.30264E-01
    0.77425E+00    0.24215E-01
    0.85568E+00    0.19325E-01
    0.94567E+00    0.15387E-01
    0.10451E+01    0.12225E-01
    0.11550E+01    0.96911E-02
    0.12765E+01    0.76673E-02
    0.14108E+01    0.60543E-02
    0.15591E+01    0.47718E-02
    0.17231E+01    0.37544E-02
    0.19043E+01    0.29488E-02
    0.21046E+01    0.23124E-02
    0.23260E+01    0.18105E-02
    0.25706E+01    0.14155E-02
    0.28410E+01    0.11050E-02
    0.31397E+01    0.86151E-03
    0.34700E+01    0.67078E-03
    0.38349E+01    0.52163E-03
    0.42382E+01    0.40515E-03
    0.46839E+01    0.31431E-03
    0.51766E+01    0.24358E-03
    0.57210E+01    0.18856E-03
    0.63227E+01    0.14581E-03
    0.69876E+01    0.11265E-03
    0.77225E+01    0.86946E-04
    0.85347E+01    0.67045E-04
    0.94323E+01    0.51654E-04
    0.10424E+02    0.39762E-04
    0.11521E+02    0.30583E-04
    0.12732E+02    0.23504E-04
    0.14071E+02    0.18049E-04
    0.15551E+02    0.13851E-04
    0.17187E+02    0.10621E-04
    0.18994E+02    0.81386E-05
    0.20992E+02    0.62323E-05
    0.23200E+02    0.47693E-05
    0.25640E+02    0.36475E-05
    0.28336E+02    0.27878E-05
    0.31316E+02    0.21294E-05
    0.34610E+02    0.16256E-05
    0.38250E+02    0.12402E-05
    0.42273E+02    0.94571E-06
    0.46718E+02    0.72072E-06
    0.51632E+02    0.54895E-06
