#           k/h    P           
    0.58104E-05    0.10208E+02
    0.64215E-05    0.11240E+02
    0.70968E-05    0.12375E+02
    0.78432E-05    0.13625E+02
    0.86681E-05    0.15002E+02
    0.95797E-05    0.16517E+02
    0.10587E-04    0.18186E+02
    0.11701E-04    0.20023E+02
    0.12931E-04    0.22046E+02
    0.14291E-04    0.24273E+02
    0.15794E-04    0.26725E+02
    0.17455E-04    0.29425E+02
    0.19291E-04    0.32398E+02
    0.21320E-04    0.35671E+02
    0.23562E-04    0.39274E+02
    0.26040E-04    0.43242E+02
    0.28779E-04    0.47610E+02
    0.31806E-04    0.52419E+02
    0.35151E-04    0.57715E+02
    0.38848E-04    0.63545E+02
    0.42933E-04    0.69964E+02
    0.47449E-04    0.77031E+02
    0.52439E-04    0.84812E+02
    0.57954E-04    0.93379E+02
    0.64049E-04    0.10281E+03
    0.70785E-04    0.11320E+03
    0.78230E-04    0.12463E+03
    0.86457E-04    0.13721E+03
    0.95550E-04    0.15107E+03
    0.10560E-03    0.16633E+03
    0.11671E-03    0.18312E+03
    0.12898E-03    0.20161E+03
    0.14254E-03    0.22196E+03
    0.15754E-03    0.24436E+03
    0.17410E-03    0.26902E+03
    0.19241E-03    0.29616E+03
    0.21265E-03    0.32602E+03
    0.23502E-03    0.35889E+03
    0.25973E-03    0.39505E+03
    0.28705E-03    0.43484E+03
    0.31724E-03    0.47860E+03
    0.35060E-03    0.52673E+03
    0.38747E-03    0.57964E+03
    0.42823E-03    0.63780E+03
    0.47326E-03    0.70170E+03
    0.52304E-03    0.77188E+03
    0.57804E-03    0.84892E+03
    0.63884E-03    0.93344E+03
    0.70603E-03    0.10261E+04
    0.78028E-03    0.11276E+04
    0.86234E-03    0.12387E+04
    0.95303E-03    0.13602E+04
    0.10533E-02    0.14928E+04
    0.11640E-02    0.16375E+04
    0.12865E-02    0.17949E+04
    0.14218E-02    0.19660E+04
    0.15713E-02    0.21516E+04
    0.17365E-02    0.23523E+04
    0.19192E-02    0.25690E+04
    0.21210E-02    0.28020E+04
    0.23441E-02    0.30519E+04
    0.25906E-02    0.33189E+04
    0.28631E-02    0.36030E+04
    0.31642E-02    0.39040E+04
    0.34970E-02    0.42214E+04
    0.38647E-02    0.45543E+04
    0.42712E-02    0.49014E+04
    0.47204E-02    0.52608E+04
    0.52169E-02    0.56299E+04
    0.57655E-02    0.60058E+04
    0.63719E-02    0.63846E+04
    0.70420E-02    0.67615E+04
    0.77826E-02    0.71308E+04
    0.86011E-02    0.74860E+04
    0.95057E-02    0.78194E+04
    0.10505E-01    0.81224E+04
    0.11610E-01    0.83852E+04
    0.12831E-01    0.85972E+04
    0.14181E-01    0.87472E+04
    0.15672E-01    0.88235E+04
    0.17321E-01    0.88151E+04
    0.19142E-01    0.87123E+04
    0.21155E-01    0.85088E+04
    0.23380E-01    0.82025E+04
    0.25839E-01    0.77985E+04
    0.28557E-01    0.73100E+04
    0.31560E-01    0.67599E+04
    0.34879E-01    0.61797E+04
    0.38548E-01    0.56069E+04
    0.42602E-01    0.50786E+04
    0.47082E-01    0.46244E+04
    0.52034E-01    0.42569E+04
    0.57506E-01    0.39631E+04
    0.63554E-01    0.37013E+04
    0.70238E-01    0.34099E+04
    0.77625E-01    0.30383E+04
    0.85789E-01    0.25916E+04
    0.94812E-01    0.21482E+04
    0.10478E+00    0.18091E+04
    0.11580E+00    0.16079E+04
    0.12798E+00    0.14659E+04
    0.14144E+00    0.12645E+04
    0.15632E+00    0.10143E+04
    0.17276E+00    0.83999E+03
    0.19093E+00    0.74646E+03
    0.21101E+00    0.62250E+03
    0.23320E+00    0.49898E+03
    0.25773E+00    0.42915E+03
    0.28483E+00    0.34904E+03
    0.31479E+00    0.28798E+03
    0.34789E+00    0.23633E+03
    0.38448E+00    0.19320E+03
    0.42492E+00    0.15680E+03
    0.46961E+00    0.12765E+03
    0.51900E+00    0.10316E+03
    0.57358E+00    0.83165E+02
    0.63390E+00    0.66894E+02
    0.70057E+00    0.53660E+02
    0.77425E+00    0.42933E+02
    0.85568E+00    0.34264E+02
    0.94567E+00    0.27282E+02
    0.10451E+01    0.21674E+02
    0.11550E+01    0.17182E+02
    0.12765E+01    0.13594E+02
    0.14108E+01    0.10734E+02
    0.15591E+01    0.84603E+01
    0.17231E+01    0.66563E+01
    0.19043E+01    0.52281E+01
    0.21046E+01    0.40997E+01
    0.23260E+01    0.32099E+01
    0.25706E+01    0.25095E+01
    0.28410E+01    0.19592E+01
    0.31397E+01    0.15274E+01
    0.34700E+01    0.11892E+01
    0.38349E+01    0.92480E+00
    0.42382E+01    0.71829E+00
    0.46839E+01    0.55725E+00
    0.51766E+01    0.43183E+00
    0.57210E+01    0.33429E+00
    0.63227E+01    0.25851E+00
    0.69876E+01    0.19971E+00
    0.77225E+01    0.15414E+00
    0.85347E+01    0.11886E+00
    0.94323E+01    0.91571E-01
    0.10424E+02    0.70488E-01
    0.11521E+02    0.54214E-01
    0.12732E+02    0.41664E-01
    0.14071E+02    0.31995E-01
    0.15551E+02    0.24551E-01
    0.17187E+02    0.18825E-01
    0.18994E+02    0.14425E-01
    0.20992E+02    0.11045E-01
    0.23200E+02    0.84518E-02
    0.25640E+02    0.64631E-02
    0.28336E+02    0.49392E-02
    0.31316E+02    0.37722E-02
    0.34610E+02    0.28791E-02
    0.38250E+02    0.21961E-02
    0.42273E+02    0.16741E-02
    0.46718E+02    0.12754E-02
    0.51632E+02    0.97104E-03
