#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.581041E-05   0.400746E+06   0.400746E+06   0.534326E+06   0.534326E+06   0.443147E+06   0.401328E+06   0.400746E+06   0.406951E+06  -0.603128E+00   0.399233E+06   0.399233E+06   0.137843E+00
   0.642149E-05   0.400746E+06   0.400746E+06   0.534326E+06   0.534326E+06   0.443147E+06   0.401328E+06   0.400746E+06   0.406951E+06  -0.603128E+00   0.399233E+06   0.399233E+06   0.152340E+00
   0.709685E-05   0.400746E+06   0.400746E+06   0.534326E+06   0.534325E+06   0.443146E+06   0.401328E+06   0.400746E+06   0.406951E+06  -0.603128E+00   0.399233E+06   0.399233E+06   0.168362E+00
   0.784323E-05   0.400746E+06   0.400746E+06   0.534325E+06   0.534325E+06   0.443146E+06   0.401328E+06   0.400746E+06   0.406951E+06  -0.603128E+00   0.399233E+06   0.399233E+06   0.186069E+00
   0.866811E-05   0.400746E+06   0.400746E+06   0.534324E+06   0.534324E+06   0.443146E+06   0.401328E+06   0.400746E+06   0.406951E+06  -0.603128E+00   0.399233E+06   0.399233E+06   0.205638E+00
   0.957974E-05   0.400746E+06   0.400746E+06   0.534324E+06   0.534324E+06   0.443145E+06   0.401328E+06   0.400746E+06   0.406950E+06  -0.603128E+00   0.399233E+06   0.399233E+06   0.227265E+00
   0.105873E-04   0.400746E+06   0.400746E+06   0.534323E+06   0.534323E+06   0.443145E+06   0.401328E+06   0.400746E+06   0.406950E+06  -0.603128E+00   0.399233E+06   0.399233E+06   0.251166E+00
   0.117007E-04   0.400745E+06   0.400745E+06   0.534322E+06   0.534322E+06   0.443144E+06   0.401328E+06   0.400745E+06   0.406950E+06  -0.603127E+00   0.399233E+06   0.399233E+06   0.277582E+00
   0.129313E-04   0.400745E+06   0.400745E+06   0.534321E+06   0.534320E+06   0.443144E+06   0.401328E+06   0.400745E+06   0.406950E+06  -0.603127E+00   0.399233E+06   0.399233E+06   0.306775E+00
   0.142913E-04   0.400745E+06   0.400745E+06   0.534319E+06   0.534319E+06   0.443143E+06   0.401328E+06   0.400745E+06   0.406950E+06  -0.603127E+00   0.399233E+06   0.399233E+06   0.339039E+00
   0.157943E-04   0.400745E+06   0.400745E+06   0.534318E+06   0.534317E+06   0.443142E+06   0.401328E+06   0.400745E+06   0.406950E+06  -0.603127E+00   0.399233E+06   0.399233E+06   0.374696E+00
   0.174554E-04   0.400745E+06   0.400745E+06   0.534316E+06   0.534315E+06   0.443140E+06   0.401328E+06   0.400745E+06   0.406950E+06  -0.603127E+00   0.399233E+06   0.399233E+06   0.414103E+00
   0.192912E-04   0.400745E+06   0.400745E+06   0.534313E+06   0.534312E+06   0.443139E+06   0.401328E+06   0.400745E+06   0.406950E+06  -0.603127E+00   0.399233E+06   0.399233E+06   0.457654E+00
   0.213201E-04   0.400745E+06   0.400745E+06   0.534310E+06   0.534308E+06   0.443137E+06   0.401328E+06   0.400745E+06   0.406950E+06  -0.603126E+00   0.399232E+06   0.399232E+06   0.505786E+00
   0.235624E-04   0.400745E+06   0.400745E+06   0.534306E+06   0.534304E+06   0.443134E+06   0.401327E+06   0.400745E+06   0.406950E+06  -0.603126E+00   0.399232E+06   0.399232E+06   0.558979E+00
   0.260404E-04   0.400745E+06   0.400745E+06   0.534301E+06   0.534299E+06   0.443131E+06   0.401327E+06   0.400745E+06   0.406949E+06  -0.603126E+00   0.399232E+06   0.399232E+06   0.617767E+00
   0.287791E-04   0.400745E+06   0.400745E+06   0.534295E+06   0.534293E+06   0.443128E+06   0.401327E+06   0.400745E+06   0.406949E+06  -0.603125E+00   0.399232E+06   0.399232E+06   0.682738E+00
   0.318059E-04   0.400744E+06   0.400744E+06   0.534288E+06   0.534285E+06   0.443123E+06   0.401327E+06   0.400744E+06   0.406949E+06  -0.603125E+00   0.399232E+06   0.399232E+06   0.754541E+00
   0.351509E-04   0.400744E+06   0.400744E+06   0.534279E+06   0.534275E+06   0.443118E+06   0.401326E+06   0.400744E+06   0.406948E+06  -0.603124E+00   0.399231E+06   0.399231E+06   0.833896E+00
